[720, 504]
[paragraph, [42.0, 102.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 120.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 138.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 156.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 174.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 192.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 210.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 228.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 246.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 264.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [42.0, 282.0, 207.0, 18.0], shoonya_1sR1MSW15QG1FQ, 5650963]
[paragraph, [254.0, 102.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 120.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 138.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 156.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 174.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 192.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 210.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 228.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 246.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [254.0, 264.0, 203.0, 18.0], shoonya_3sOY85FHLC1DYX, 5650963]
[paragraph, [40.0, 312.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 330.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 348.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 366.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 384.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 402.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 420.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 438.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 456.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 474.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 492.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 510.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 528.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [40.0, 546.0, 208.0, 18.0], shoonya_2s7W04A3QWIEIZ, 5650963]
[paragraph, [257.0, 354.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 372.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 390.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 408.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 426.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 444.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 462.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 480.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 498.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 516.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 534.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [257.0, 552.0, 202.0, 18.0], shoonya_0s25VRAXRNVZ89, 5650963]
[paragraph, [41.0, 574.0, 205.0, 18.0], shoonya_8sW0Q8IK5QZQWL, 5650963]
[paragraph, [41.0, 592.0, 205.0, 18.0], shoonya_8sW0Q8IK5QZQWL, 5650963]
[paragraph, [41.0, 610.0, 205.0, 18.0], shoonya_8sW0Q8IK5QZQWL, 5650963]
[paragraph, [254.0, 578.0, 208.0, 18.0], shoonya_4sNJRUE2PPGTMA, 5650963]
[paragraph, [254.0, 596.0, 208.0, 18.0], shoonya_4sNJRUE2PPGTMA, 5650963]
[paragraph, [254.0, 614.0, 208.0, 18.0], shoonya_4sNJRUE2PPGTMA, 5650963]
