[1492, 1000]
[folio, [345.0, 152.0, 320.0, 18.0], 8DbiUt0MGP, 5720543]
[paragraph, [130.0, 197.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 215.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 233.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 251.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 269.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 287.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 305.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 323.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 341.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 359.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 377.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 395.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 413.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 431.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 449.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 467.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 485.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 503.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 521.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 539.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 557.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 575.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 593.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 611.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 629.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 647.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 665.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 683.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 701.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 719.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [130.0, 737.0, 754.0, 18.0], shoonya_0sMRHA2A5GUIV7, 5720543]
[paragraph, [146.0, 766.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 784.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 802.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 820.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 838.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 856.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 874.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 892.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 910.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 928.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 946.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 964.0, 738.0, 18.0], JCSRldSK8X, 5720543]
[paragraph, [146.0, 982.0, 738.0, 18.0], JCSRldSK8X, 5720543]
