[2339, 1654]
[folio, [120.0, 70.0, 389.0, 36.0], 6UZzc7SUTC, 5750614]
[folio, [120.0, 106.0, 389.0, 36.0], 6UZzc7SUTC, 5750614]
[paragraph, [132.0, 125.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 161.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 197.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 233.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 269.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 305.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 341.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 377.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 413.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 449.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 485.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [132.0, 521.0, 1430.0, 36.0], shoonya_1sEQMCE1HSTHNJ, 5750614]
[paragraph, [131.0, 585.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 621.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 657.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 693.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 729.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 765.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [131.0, 801.0, 1437.0, 36.0], shoonya_0sWTIVCO5EXE2C, 5750614]
[paragraph, [375.0, 843.0, 742.0, 36.0], DKPE4d7Cn3, 5750614]
[paragraph, [375.0, 879.0, 742.0, 36.0], DKPE4d7Cn3, 5750614]
