[595, 454]
[chapter-title, [124.0, 179.0, 204.0, 30.0], Sm00MEWpuB, 6459818]
[chapter-title, [124.0, 209.0, 204.0, 30.0], Sm00MEWpuB, 6459818]
[paragraph, [24.0, 268.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [24.0, 286.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [24.0, 304.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [24.0, 322.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [24.0, 340.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [24.0, 358.0, 200.0, 18.0], oGTYjpMxW8, 6459818]
[paragraph, [225.0, 269.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [225.0, 287.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [225.0, 305.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [225.0, 323.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [225.0, 341.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [225.0, 359.0, 203.0, 18.0], ZxR8Srg7_L, 6459818]
[paragraph, [227.0, 387.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 405.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 423.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 441.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 459.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 477.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [227.0, 495.0, 198.0, 18.0], OYL73ihqoq, 6459818]
[paragraph, [28.0, 389.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [28.0, 407.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [28.0, 425.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [28.0, 443.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [28.0, 461.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [28.0, 479.0, 196.0, 18.0], 3EUhfP2RKl, 6459818]
[paragraph, [22.0, 506.0, 204.0, 18.0], xwwrd0fkq3, 6459818]
[paragraph, [22.0, 524.0, 204.0, 18.0], xwwrd0fkq3, 6459818]
[paragraph, [243.0, 525.0, 189.0, 18.0], Bk0eI0jHvQ, 6459818]
[footnote, [180.0, 553.0, 89.0, 18.0], ztJlVqz1Rw, 6459818]
