[792, 511]
[folio, [38.0, 15.0, 97.0, 18.0], XKkrgdc6OW, 6461191]
[paragraph, [33.0, 46.0, 454.0, 18.0], shoonya_0sQYPMCI3O9DFJ, 6461191]
[paragraph, [33.0, 64.0, 454.0, 18.0], shoonya_0sQYPMCI3O9DFJ, 6461191]
[paragraph, [33.0, 82.0, 454.0, 18.0], shoonya_0sQYPMCI3O9DFJ, 6461191]
[paragraph, [33.0, 100.0, 454.0, 18.0], shoonya_0sQYPMCI3O9DFJ, 6461191]
[paragraph, [33.0, 118.0, 454.0, 18.0], shoonya_0sQYPMCI3O9DFJ, 6461191]
[paragraph, [34.0, 127.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 145.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 163.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 181.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 199.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 217.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 235.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 253.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 271.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [34.0, 289.0, 445.0, 18.0], nOMPpkl6BJ, 6461191]
[paragraph, [36.0, 313.0, 443.0, 18.0], shoonya_1sF8EFV4NUL8NZ, 6461191]
[paragraph, [36.0, 331.0, 443.0, 18.0], shoonya_1sF8EFV4NUL8NZ, 6461191]
[paragraph, [36.0, 349.0, 443.0, 18.0], shoonya_1sF8EFV4NUL8NZ, 6461191]
[paragraph, [36.0, 367.0, 443.0, 18.0], shoonya_1sF8EFV4NUL8NZ, 6461191]
[paragraph, [36.0, 385.0, 443.0, 18.0], shoonya_1sF8EFV4NUL8NZ, 6461191]
[paragraph, [36.0, 417.0, 439.0, 18.0], shoonya_2sTU00WWAZB5HP, 6461191]
[paragraph, [36.0, 435.0, 439.0, 18.0], shoonya_2sTU00WWAZB5HP, 6461191]
[paragraph, [36.0, 453.0, 439.0, 18.0], shoonya_2sTU00WWAZB5HP, 6461191]
[paragraph, [36.0, 471.0, 439.0, 18.0], shoonya_2sTU00WWAZB5HP, 6461191]
[paragraph, [36.0, 489.0, 439.0, 18.0], shoonya_2sTU00WWAZB5HP, 6461191]
[paragraph, [34.0, 515.0, 441.0, 18.0], shoonya_5sH5OUGR5DR1YM, 6461191]
[paragraph, [34.0, 533.0, 441.0, 18.0], shoonya_5sH5OUGR5DR1YM, 6461191]
[paragraph, [34.0, 551.0, 441.0, 18.0], shoonya_5sH5OUGR5DR1YM, 6461191]
[paragraph, [34.0, 569.0, 441.0, 18.0], shoonya_5sH5OUGR5DR1YM, 6461191]
[paragraph, [27.0, 582.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [27.0, 600.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [27.0, 618.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [27.0, 636.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [27.0, 654.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [27.0, 672.0, 454.0, 18.0], shoonya_7s3YNIS0TC8VF3, 6461191]
[paragraph, [84.0, 694.0, 276.0, 18.0], shoonya_4sUEBG597HLNN1, 6461191]
[paragraph, [84.0, 712.0, 276.0, 18.0], shoonya_4sUEBG597HLNN1, 6461191]
[paragraph, [84.0, 730.0, 276.0, 18.0], shoonya_4sUEBG597HLNN1, 6461191]
