[1034, 680]
[folio, [203.0, 62.0, 252.0, 18.0], MXEUHn75Dn, 5739986]
[folio, [203.0, 80.0, 252.0, 18.0], MXEUHn75Dn, 5739986]
[paragraph, [58.0, 123.0, 558.0, 18.0], MdqEreZH_l, 5739986]
[paragraph, [58.0, 141.0, 558.0, 18.0], MdqEreZH_l, 5739986]
[paragraph, [58.0, 159.0, 558.0, 18.0], MdqEreZH_l, 5739986]
[paragraph, [58.0, 177.0, 558.0, 18.0], MdqEreZH_l, 5739986]
[paragraph, [58.0, 195.0, 558.0, 18.0], MdqEreZH_l, 5739986]
[paragraph, [62.0, 243.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 261.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 279.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 297.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 315.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 333.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 351.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 369.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 387.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [62.0, 405.0, 553.0, 18.0], 9O7fyZLinB, 5739986]
[paragraph, [68.0, 437.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 455.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 473.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 491.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 509.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 527.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 545.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 563.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 581.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 599.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 617.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 635.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 653.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 671.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 689.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 707.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 725.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 743.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 761.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 779.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 797.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 815.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 833.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 851.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 869.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 887.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 905.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 923.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
[paragraph, [68.0, 941.0, 553.0, 18.0], 2zY6gOKE57, 5739986]
