[3509, 2482]
[folio, [881.0, 341.0, 487.0, 52.5], WVqJPT6rBC, 5691543]
[paragraph, [216.0, 479.0, 1767.0, 52.5], shoonya_0sE0NL6CI0JS4U, 5691543]
[paragraph, [204.0, 561.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 613.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 666.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 718.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 771.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 823.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 876.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 928.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 981.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1033.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1086.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1138.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1191.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1243.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1296.0, 1793.0, 52.5], LYFTXswxFT, 5691543]
[paragraph, [204.0, 1348.5, 1793.0, 52.5], LYFTXswxFT, 5691543]
[section-title, [992.0, 1681.0, 223.0, 93.0], joxhxoaavM, 5691543]
[paragraph, [304.0, 1802.0, 930.0, 52.5], pBDZFVrtE4, 5691543]
[paragraph, [304.0, 1854.5, 930.0, 52.5], pBDZFVrtE4, 5691543]
[paragraph, [198.0, 1903.0, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 1955.5, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 2008.0, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 2060.5, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 2113.0, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 2165.5, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [198.0, 2218.0, 1836.0, 52.5], OCQGTG_D4t, 5691543]
[paragraph, [201.0, 2283.0, 1818.0, 52.5], EHcmqay10n, 5691543]
[paragraph, [201.0, 2335.5, 1818.0, 52.5], EHcmqay10n, 5691543]
[paragraph, [201.0, 2388.0, 1818.0, 52.5], EHcmqay10n, 5691543]
[paragraph, [201.0, 2440.5, 1818.0, 52.5], EHcmqay10n, 5691543]
[paragraph, [201.0, 2493.0, 1818.0, 52.5], EHcmqay10n, 5691543]
[paragraph, [207.0, 2590.0, 1833.0, 52.5], acwvq3TwRN, 5691543]
[paragraph, [207.0, 2642.5, 1833.0, 52.5], acwvq3TwRN, 5691543]
[paragraph, [207.0, 2695.0, 1833.0, 52.5], acwvq3TwRN, 5691543]
[paragraph, [207.0, 2747.5, 1833.0, 52.5], acwvq3TwRN, 5691543]
[paragraph, [207.0, 2800.0, 1833.0, 52.5], acwvq3TwRN, 5691543]
[paragraph, [210.0, 2891.0, 1836.0, 52.5], Hj5fWlsDxa, 5691543]
[paragraph, [210.0, 2943.5, 1836.0, 52.5], Hj5fWlsDxa, 5691543]
[paragraph, [210.0, 2996.0, 1836.0, 52.5], Hj5fWlsDxa, 5691543]
[paragraph, [210.0, 3048.5, 1836.0, 52.5], Hj5fWlsDxa, 5691543]
[paragraph, [210.0, 3101.0, 1836.0, 52.5], Hj5fWlsDxa, 5691543]
[paragraph, [273.0, 3226.0, 1504.0, 52.5], PIh6xcuROJ, 5691543]
[paragraph, [273.0, 3278.5, 1504.0, 52.5], PIh6xcuROJ, 5691543]
