[1754, 1241]
[ordered-list, [161.0, 152.0, 756.0, 36.0], shoonya_0s6XYVGBXETBTZ, 5746974]
[ordered-list, [161.0, 188.0, 756.0, 36.0], shoonya_0s6XYVGBXETBTZ, 5746974]
[paragraph, [178.0, 246.0, 918.0, 36.0], LQ2VhOXhdG, 5746974]
[paragraph, [178.0, 282.0, 918.0, 36.0], LQ2VhOXhdG, 5746974]
[ordered-list, [136.0, 403.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 439.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 475.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 511.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 547.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 583.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 619.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 655.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 691.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 727.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 763.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 799.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 835.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 871.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 907.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 943.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 979.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1015.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1051.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1087.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1123.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1159.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1195.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[ordered-list, [136.0, 1231.0, 983.0, 36.0], nSLk_j3_tl, 5746974]
[sub-section-title, [139.0, 544.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 580.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 616.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 652.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 688.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 724.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 760.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 796.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 832.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 868.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 904.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 940.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 976.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1012.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1048.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1084.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1120.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1156.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1192.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[sub-section-title, [139.0, 1228.0, 971.0, 36.0], Got6ZngaAq, 5746974]
[paragraph, [150.0, 1356.0, 663.0, 36.0], rhd3lxIZ5s, 5746974]
[ordered-list, [142.0, 1403.0, 954.0, 36.0], SbO5O9j3hS, 5746974]
[ordered-list, [142.0, 1439.0, 954.0, 36.0], SbO5O9j3hS, 5746974]
[ordered-list, [142.0, 1475.0, 954.0, 36.0], SbO5O9j3hS, 5746974]
