[595, 454]
[chapter-title, [126.0, 178.0, 191.0, 30.0], shoonya_0s02R3V7HZ7PC1, 6459943]
[paragraph, [20.0, 256.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 274.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 292.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 310.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 328.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 346.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 364.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 382.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 400.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [20.0, 418.0, 204.0, 18.0], 3PqfXHD8U2, 6459943]
[paragraph, [222.0, 258.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 276.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 294.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 312.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 330.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 348.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 366.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 384.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 402.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [222.0, 420.0, 204.0, 18.0], 1n7Vpb2Eed, 6459943]
[paragraph, [23.0, 449.0, 201.0, 18.0], 8zLXKoOOhT, 6459943]
[paragraph, [23.0, 467.0, 201.0, 18.0], 8zLXKoOOhT, 6459943]
[paragraph, [23.0, 485.0, 201.0, 18.0], 8zLXKoOOhT, 6459943]
[paragraph, [23.0, 503.0, 201.0, 18.0], 8zLXKoOOhT, 6459943]
[paragraph, [221.0, 451.0, 206.0, 18.0], equ6-0DQdC, 6459943]
[paragraph, [221.0, 469.0, 206.0, 18.0], equ6-0DQdC, 6459943]
[paragraph, [221.0, 487.0, 206.0, 18.0], equ6-0DQdC, 6459943]
[paragraph, [221.0, 505.0, 206.0, 18.0], equ6-0DQdC, 6459943]
[folio, [179.0, 538.0, 98.0, 18.0], shoonya_5sDSGZK229VB08, 6459943]
