[1162, 749]
[folio, [330.0, 75.0, 85.0, 18.0], shoonya_2sU6MKLHHH2C75, 5699705]
[paragraph, [81.0, 116.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 134.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 152.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 170.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 188.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 206.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 224.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 242.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 260.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 278.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 296.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 314.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 332.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 350.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 368.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 386.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 404.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 422.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 440.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 458.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 476.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 494.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 512.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 530.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 548.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 566.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 584.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [81.0, 602.0, 586.0, 18.0], shoonya_3sMKZSCKT4PFV9, 5699705]
[paragraph, [87.0, 633.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 651.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 669.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 687.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 705.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 723.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 741.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 759.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 777.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 795.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 813.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 831.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 849.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 867.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 885.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 903.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [87.0, 921.0, 584.0, 18.0], shoonya_0sJNQL6V2GZFBN, 5699705]
[paragraph, [78.0, 945.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 963.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 981.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 999.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 1017.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 1035.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 1053.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
[paragraph, [78.0, 1071.0, 614.0, 18.0], yPYY5xqwCt, 5699705]
