[2000, 1414]
[headline, [37.0, 155.0, 1283.0, 67.5], shoonya_9sU583KAW2YA3U, 6490806]
[paragraph, [480.0, 1182.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1218.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1254.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1290.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1326.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1362.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [480.0, 1398.0, 427.0, 36.0], shoonya_6s8OZXRZ5NQ51L, 6490806]
[paragraph, [917.0, 1182.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1218.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1254.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1290.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1326.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1362.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [917.0, 1398.0, 436.0, 36.0], shoonya_7sTZ4OOKNUIN6L, 6490806]
[paragraph, [31.0, 1189.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1225.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1261.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1297.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1333.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1369.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [31.0, 1405.0, 428.0, 36.0], shoonya_8sZCFFKJOJPY32, 6490806]
[paragraph, [915.0, 1481.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1517.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1553.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1589.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1625.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1661.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [915.0, 1697.0, 429.0, 36.0], shoonya_3sJS5OXI7XGTYC, 6490806]
[paragraph, [35.0, 1487.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1523.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1559.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1595.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1631.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1667.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [35.0, 1703.0, 417.0, 36.0], shoonya_5sHVI8XGQAMESW, 6490806]
[paragraph, [478.0, 1490.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1526.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1562.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1598.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1634.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1670.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
[paragraph, [478.0, 1706.0, 411.0, 36.0], shoonya_4sICZGHEZQM3LP, 6490806]
