[911, 559]
[paragraph, [40.0, 41.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 59.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 77.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 95.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 113.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 131.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 149.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 167.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 185.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 203.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 221.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 239.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 257.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 275.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 293.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 311.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 329.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 347.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 365.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 383.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 401.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 419.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [40.0, 437.0, 502.0, 18.0], shoonya_0sPL7EEWX31ILO, 5775958]
[paragraph, [264.0, 474.0, 231.0, 18.0], shoonya_4sXKVW1T6Q4TKU, 5775958]
[paragraph, [264.0, 492.0, 231.0, 18.0], shoonya_4sXKVW1T6Q4TKU, 5775958]
[paragraph, [35.0, 523.0, 504.0, 18.0], shoonya_2sKW8L2NM72QY3, 5775958]
[paragraph, [35.0, 541.0, 504.0, 18.0], shoonya_2sKW8L2NM72QY3, 5775958]
[paragraph, [35.0, 559.0, 504.0, 18.0], shoonya_2sKW8L2NM72QY3, 5775958]
[paragraph, [35.0, 577.0, 504.0, 18.0], shoonya_2sKW8L2NM72QY3, 5775958]
[paragraph, [35.0, 595.0, 504.0, 18.0], shoonya_2sKW8L2NM72QY3, 5775958]
[paragraph, [32.0, 613.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 631.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 649.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 667.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 685.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 703.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 721.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 739.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 757.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 775.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 793.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 811.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 829.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
[paragraph, [32.0, 847.0, 502.0, 18.0], shoonya_1sKWVKTAHZCW39, 5775958]
