[1650, 1275]
[paragraph, [186.0, 109.0, 892.0, 36.0], shoonya_0s6VHCD2YW1SLQ, 5714162]
[paragraph, [186.0, 145.0, 892.0, 36.0], shoonya_0s6VHCD2YW1SLQ, 5714162]
[paragraph, [186.0, 181.0, 892.0, 36.0], shoonya_0s6VHCD2YW1SLQ, 5714162]
[paragraph, [175.0, 234.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 270.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 306.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 342.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 378.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 414.0, 924.0, 36.0], shoonya_1sUCW4W07DO5RU, 5714162]
[paragraph, [175.0, 478.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 514.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 550.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 586.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 622.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 658.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 694.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 730.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 766.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 802.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 838.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 874.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 910.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 946.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [175.0, 982.0, 927.0, 36.0], shoonya_2sXV2G2VLGGQTQ, 5714162]
[paragraph, [172.0, 1034.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1070.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1106.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1142.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1178.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1214.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1250.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1286.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1322.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
[paragraph, [172.0, 1358.0, 928.0, 36.0], shoonya_3s105VAPHS1DGK, 5714162]
