[842, 596]
[section-title, [45.0, 36.0, 110.0, 30.0], CfYO-eg-2C, 5717984]
[paragraph, [51.0, 86.0, 490.0, 18.0], UeRHJuj-n1, 5717984]
[paragraph, [51.0, 104.0, 490.0, 18.0], UeRHJuj-n1, 5717984]
[ordered-list, [46.0, 176.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 194.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 212.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 230.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 248.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 266.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 284.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 302.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 320.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 338.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 356.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 374.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 392.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 410.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 428.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 446.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 464.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 482.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 500.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 518.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[ordered-list, [46.0, 536.0, 508.0, 18.0], -dW8omxJjq, 5717984]
[paragraph, [47.0, 609.0, 493.0, 18.0], AfItzX-lED, 5717984]
[paragraph, [47.0, 627.0, 493.0, 18.0], AfItzX-lED, 5717984]
[paragraph, [47.0, 645.0, 493.0, 18.0], AfItzX-lED, 5717984]
[paragraph, [47.0, 663.0, 493.0, 18.0], AfItzX-lED, 5717984]
[paragraph, [47.0, 681.0, 493.0, 18.0], AfItzX-lED, 5717984]
