[1300, 900]
[folio, [395.0, 37.0, 139.0, 18.0], 2-b7-QT0Kk, 5731999]
[folio, [395.0, 55.0, 139.0, 18.0], 2-b7-QT0Kk, 5731999]
[paragraph, [102.0, 106.0, 711.0, 18.0], shoonya_5s7OQ6CE7EYTM2, 5731999]
[paragraph, [102.0, 124.0, 711.0, 18.0], shoonya_5s7OQ6CE7EYTM2, 5731999]
[paragraph, [102.0, 142.0, 711.0, 18.0], shoonya_5s7OQ6CE7EYTM2, 5731999]
[paragraph, [102.0, 160.0, 711.0, 18.0], shoonya_5s7OQ6CE7EYTM2, 5731999]
[paragraph, [103.0, 202.0, 709.0, 18.0], shoonya_9sUFKL6FFHQL9K, 5731999]
[paragraph, [103.0, 220.0, 709.0, 18.0], shoonya_9sUFKL6FFHQL9K, 5731999]
[paragraph, [103.0, 238.0, 709.0, 18.0], shoonya_9sUFKL6FFHQL9K, 5731999]
[paragraph, [103.0, 256.0, 709.0, 18.0], shoonya_9sUFKL6FFHQL9K, 5731999]
[paragraph, [103.0, 274.0, 709.0, 18.0], shoonya_9sUFKL6FFHQL9K, 5731999]
[paragraph, [99.0, 300.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 318.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 336.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 354.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 372.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 390.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [99.0, 408.0, 712.0, 18.0], shoonya_2s01RLM02KVI0H, 5731999]
[paragraph, [96.0, 441.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 459.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 477.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 495.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 513.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 531.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [96.0, 549.0, 715.0, 18.0], shoonya_0s6FKGG3FHC4NV, 5731999]
[paragraph, [93.0, 585.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 603.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 621.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 639.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 657.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 675.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [93.0, 693.0, 717.0, 18.0], shoonya_1sRQOS9S6NVSNU, 5731999]
[paragraph, [89.0, 728.0, 721.0, 18.0], shoonya_6sQ7H5SHQFYUF6, 5731999]
[paragraph, [89.0, 746.0, 721.0, 18.0], shoonya_6sQ7H5SHQFYUF6, 5731999]
[paragraph, [89.0, 764.0, 721.0, 18.0], shoonya_6sQ7H5SHQFYUF6, 5731999]
[paragraph, [89.0, 782.0, 721.0, 18.0], shoonya_6sQ7H5SHQFYUF6, 5731999]
[paragraph, [89.0, 800.0, 721.0, 18.0], shoonya_6sQ7H5SHQFYUF6, 5731999]
[paragraph, [89.0, 826.0, 713.0, 18.0], shoonya_8sK29VGJJNYQKZ, 5731999]
[paragraph, [89.0, 844.0, 713.0, 18.0], shoonya_8sK29VGJJNYQKZ, 5731999]
[paragraph, [89.0, 862.0, 713.0, 18.0], shoonya_8sK29VGJJNYQKZ, 5731999]
[paragraph, [89.0, 880.0, 713.0, 18.0], shoonya_8sK29VGJJNYQKZ, 5731999]
[paragraph, [84.0, 921.0, 716.0, 18.0], c1JFdewP4D, 5731999]
[paragraph, [84.0, 939.0, 716.0, 18.0], c1JFdewP4D, 5731999]
[paragraph, [84.0, 957.0, 716.0, 18.0], c1JFdewP4D, 5731999]
[paragraph, [84.0, 975.0, 716.0, 18.0], c1JFdewP4D, 5731999]
[paragraph, [91.0, 1017.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1035.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1053.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1071.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1089.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1107.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1125.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [91.0, 1143.0, 710.0, 18.0], shoonya_3s0DTVNK6YMYL9, 5731999]
[paragraph, [89.0, 1166.0, 711.0, 18.0], shoonya_4sNW37ZXFZ7GPI, 5731999]
[paragraph, [89.0, 1184.0, 711.0, 18.0], shoonya_4sNW37ZXFZ7GPI, 5731999]
[paragraph, [89.0, 1202.0, 711.0, 18.0], shoonya_4sNW37ZXFZ7GPI, 5731999]
[paragraph, [89.0, 1220.0, 711.0, 18.0], shoonya_4sNW37ZXFZ7GPI, 5731999]
[paragraph, [89.0, 1238.0, 711.0, 18.0], shoonya_4sNW37ZXFZ7GPI, 5731999]
