[1518, 1075]
[paragraph, [108.0, 171.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 207.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 243.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 279.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 315.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 351.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 387.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 423.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 459.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 495.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 531.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 567.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 603.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 639.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 675.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 711.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [108.0, 747.0, 435.0, 36.0], shoonya_1sTVB2HMNAHKY7, 5722340]
[paragraph, [557.0, 173.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 209.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 245.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 281.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 317.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 353.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 389.0, 428.0, 36.0], shoonya_4s57ZC3YDKTN1I, 5722340]
[paragraph, [557.0, 446.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 482.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 518.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 554.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 590.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 626.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 662.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 698.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 734.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 770.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 806.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [557.0, 842.0, 428.0, 36.0], shoonya_0sJ1KD6AQDE3IF, 5722340]
[paragraph, [110.0, 807.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 843.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 879.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 915.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 951.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 987.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1023.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1059.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1095.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1131.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1167.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1203.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1239.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [110.0, 1275.0, 433.0, 36.0], shoonya_3sG67QU8ETAV2Y, 5722340]
[paragraph, [557.0, 901.0, 428.0, 36.0], shoonya_2sJ75OY30NDNHG, 5722340]
[paragraph, [557.0, 937.0, 428.0, 36.0], shoonya_2sJ75OY30NDNHG, 5722340]
[paragraph, [557.0, 973.0, 428.0, 36.0], shoonya_2sJ75OY30NDNHG, 5722340]
[paragraph, [557.0, 1009.0, 428.0, 36.0], shoonya_2sJ75OY30NDNHG, 5722340]
[paragraph, [557.0, 1045.0, 428.0, 36.0], shoonya_2sJ75OY30NDNHG, 5722340]
