[1951, 1219]
[folio, [778.0, 117.0, 215.0, 36.0], shoonya_0sDV6NHK9QEYA7, 5682338]
[paragraph, [118.0, 213.0, 969.0, 36.0], PfwM7muKad, 5682338]
[paragraph, [118.0, 249.0, 969.0, 36.0], PfwM7muKad, 5682338]
[paragraph, [121.0, 320.0, 966.0, 36.0], fE96I-91Tp, 5682338]
[paragraph, [121.0, 356.0, 966.0, 36.0], fE96I-91Tp, 5682338]
[paragraph, [121.0, 431.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 467.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 503.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 539.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 575.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 611.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 647.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 683.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 719.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 755.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 791.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 827.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 863.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 899.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [121.0, 935.0, 970.0, 36.0], 4j3zPLGAw4, 5682338]
[paragraph, [126.0, 998.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1034.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1070.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1106.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1142.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1178.0, 964.0, 36.0], cizBjWut6H, 5682338]
[paragraph, [126.0, 1230.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1266.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1302.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1338.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1374.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1410.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1446.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1482.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1518.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1554.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1590.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1626.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1662.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1698.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1734.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1770.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
[paragraph, [126.0, 1806.0, 969.0, 36.0], ok0R7CaN-b, 5682338]
