[1806, 1262]
[folio, [331.0, 99.0, 755.0, 36.0], HbXAyd23cN, 5681586]
[paragraph, [97.0, 176.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 212.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 248.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 284.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 320.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 356.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 392.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 428.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 464.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [97.0, 500.0, 504.0, 36.0], shoonya_0s1FUW2NOTSS7U, 5681586]
[paragraph, [652.0, 180.0, 511.0, 36.0], shoonya_4s53MHAMFGFRTE, 5681586]
[paragraph, [652.0, 216.0, 511.0, 36.0], shoonya_4s53MHAMFGFRTE, 5681586]
[paragraph, [652.0, 252.0, 511.0, 36.0], shoonya_4s53MHAMFGFRTE, 5681586]
[paragraph, [655.0, 357.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 393.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 429.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 465.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 501.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 537.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 573.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 609.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 645.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 681.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 717.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 753.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 789.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 825.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 861.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 897.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 933.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 969.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 1005.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 1041.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 1077.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 1113.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [655.0, 1149.0, 502.0, 36.0], shoonya_2sQ2U6I10PIDJE, 5681586]
[paragraph, [94.0, 579.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 615.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 651.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 687.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 723.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 759.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 795.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 831.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 867.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 903.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [94.0, 939.0, 509.0, 36.0], g5gcZA19J0, 5681586]
[paragraph, [101.0, 1013.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1049.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1085.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1121.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1157.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1193.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1229.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1265.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1301.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1337.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1373.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1409.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1445.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1481.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1517.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1553.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1589.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1625.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [101.0, 1661.0, 499.0, 36.0], shoonya_1sQYRCM4FKRRW4, 5681586]
[paragraph, [649.0, 1270.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1306.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1342.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1378.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1414.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1450.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1486.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1522.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1558.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1594.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1630.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
[paragraph, [649.0, 1666.0, 501.0, 36.0], shoonya_3s2G2CI0YV19GE, 5681586]
