[2481, 1654]
[folio, [1188.0, 106.0, 117.0, 36.0], shoonya_1sENCVHLWCHWQA, 5721448]
[paragraph, [225.0, 217.0, 545.0, 36.0], FOxCSmg1eZ, 5721448]
[paragraph, [165.0, 268.0, 1265.0, 36.0], cNyFOxJSkC, 5721448]
[paragraph, [165.0, 304.0, 1265.0, 36.0], cNyFOxJSkC, 5721448]
[paragraph, [233.0, 378.0, 940.0, 36.0], uMe1GA5zOF, 5721448]
[paragraph, [169.0, 436.0, 1259.0, 36.0], B_jsPohecU, 5721448]
[paragraph, [169.0, 472.0, 1259.0, 36.0], B_jsPohecU, 5721448]
[paragraph, [169.0, 508.0, 1259.0, 36.0], B_jsPohecU, 5721448]
[paragraph, [169.0, 544.0, 1259.0, 36.0], B_jsPohecU, 5721448]
[paragraph, [169.0, 580.0, 1259.0, 36.0], B_jsPohecU, 5721448]
[section-title, [349.0, 729.0, 159.0, 52.5], wBnO7emA8S, 5721448]
[paragraph, [165.0, 845.0, 1267.0, 36.0], RzomNinAcd, 5721448]
[paragraph, [165.0, 881.0, 1267.0, 36.0], RzomNinAcd, 5721448]
[paragraph, [227.0, 951.0, 715.0, 36.0], aIB4A3PWyb, 5721448]
[paragraph, [229.0, 1002.0, 314.0, 36.0], 2YBzGj2PQG, 5721448]
[paragraph, [217.0, 1058.0, 525.0, 36.0], tm9IKYfizN, 5721448]
[paragraph, [169.0, 1116.0, 1261.0, 36.0], FhLJMOm8W-, 5721448]
[paragraph, [169.0, 1152.0, 1261.0, 36.0], FhLJMOm8W-, 5721448]
[paragraph, [169.0, 1188.0, 1261.0, 36.0], FhLJMOm8W-, 5721448]
[paragraph, [169.0, 1224.0, 1261.0, 36.0], FhLJMOm8W-, 5721448]
[paragraph, [169.0, 1260.0, 1261.0, 36.0], FhLJMOm8W-, 5721448]
[paragraph, [159.0, 1331.0, 1271.0, 36.0], dhNPdmTb4Q, 5721448]
[paragraph, [159.0, 1367.0, 1271.0, 36.0], dhNPdmTb4Q, 5721448]
[paragraph, [159.0, 1403.0, 1271.0, 36.0], dhNPdmTb4Q, 5721448]
[paragraph, [165.0, 1438.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1474.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1510.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1546.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1582.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1618.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1654.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1690.0, 1265.0, 36.0], aF6YTtcrsL, 5721448]
[paragraph, [165.0, 1755.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1791.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1827.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1863.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1899.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1935.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 1971.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 2007.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [165.0, 2043.0, 1267.0, 36.0], 7Chrqi-ukS, 5721448]
[paragraph, [171.0, 2081.0, 1254.0, 36.0], wNMX_ENoBV, 5721448]
[paragraph, [171.0, 2117.0, 1254.0, 36.0], wNMX_ENoBV, 5721448]
[paragraph, [171.0, 2153.0, 1254.0, 36.0], wNMX_ENoBV, 5721448]
