[2230, 1630]
[headline, [525.0, 102.0, 592.0, 67.5], shoonya_3sRS6OY47RSNTV, 5758143]
[paragraph, [104.0, 225.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 261.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 297.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 333.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 369.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 405.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 441.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 477.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [104.0, 513.0, 1424.0, 36.0], shoonya_4sN67OV4OXT9QK, 5758143]
[paragraph, [103.0, 567.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 603.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 639.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 675.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 711.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 747.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 783.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 819.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 855.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [103.0, 891.0, 1423.0, 36.0], shoonya_1sL1MYRQQ9W0H9, 5758143]
[paragraph, [106.0, 965.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1001.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1037.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1073.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1109.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1145.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1181.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1217.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1253.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1289.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1325.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
[paragraph, [106.0, 1361.0, 1423.0, 36.0], shoonya_0sRNGHJ1FH3KEJ, 5758143]
