[2806, 1983]
[folio, [235.0, 235.0, 708.0, 46.5], _Lji5YsbXK, 5683216]
[folio, [235.0, 281.5, 708.0, 46.5], _Lji5YsbXK, 5683216]
[paragraph, [223.0, 458.0, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 504.5, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 551.0, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 597.5, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 644.0, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 690.5, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 737.0, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 783.5, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [223.0, 830.0, 1559.0, 46.5], zjE4-pOD6x, 5683216]
[paragraph, [228.0, 986.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1032.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1079.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1125.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1172.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1218.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1265.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1311.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1358.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1404.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1451.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1497.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1544.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1590.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1637.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1683.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1730.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1776.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1823.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1869.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1916.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 1962.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2009.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2055.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2102.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2148.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2195.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2241.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2288.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2334.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2381.0, 1554.0, 46.5], -g22lKv5ir, 5683216]
[paragraph, [228.0, 2427.5, 1554.0, 46.5], -g22lKv5ir, 5683216]
