[3509, 2482]
[folio, [828.0, 260.0, 539.0, 52.5], CmsPVxFA2u, 5691739]
[paragraph, [210.0, 390.0, 1802.0, 52.5], wkbtzxm4uP, 5691739]
[paragraph, [210.0, 442.5, 1802.0, 52.5], wkbtzxm4uP, 5691739]
[paragraph, [288.0, 552.0, 1045.0, 52.5], QTrCDOX4vx, 5691739]
[paragraph, [214.0, 626.0, 1783.0, 52.5], Dhz3HX_zhi, 5691739]
[paragraph, [214.0, 678.5, 1783.0, 52.5], Dhz3HX_zhi, 5691739]
[paragraph, [263.0, 788.0, 713.0, 52.5], 9-2ZR_PVPA, 5691739]
[paragraph, [294.0, 865.0, 552.0, 52.5], o3aZ8gyx3A, 5691739]
[paragraph, [217.0, 940.0, 1768.0, 52.5], NDlUJ9JcdE, 5691739]
[paragraph, [217.0, 992.5, 1768.0, 52.5], NDlUJ9JcdE, 5691739]
[paragraph, [285.0, 1098.0, 387.0, 52.5], ga0eRVupoF, 5691739]
[paragraph, [297.0, 1175.0, 390.0, 52.5], _QZlVCgU1e, 5691739]
[paragraph, [273.0, 1244.0, 1116.0, 52.5], 1Jkpul9dU9, 5691739]
[paragraph, [294.0, 1324.0, 1209.0, 52.5], iN1a5Ogy7t, 5691739]
[paragraph, [288.0, 1399.0, 729.0, 52.5], Hg4TEO3FDT, 5691739]
[paragraph, [210.0, 1470.0, 1802.0, 52.5], gXZFxXEDZi, 5691739]
[paragraph, [210.0, 1522.5, 1802.0, 52.5], gXZFxXEDZi, 5691739]
[paragraph, [223.0, 1619.0, 1765.0, 52.5], jd7AvQ6Hic, 5691739]
[paragraph, [223.0, 1671.5, 1765.0, 52.5], jd7AvQ6Hic, 5691739]
[paragraph, [223.0, 1724.0, 1765.0, 52.5], jd7AvQ6Hic, 5691739]
[paragraph, [223.0, 1776.5, 1765.0, 52.5], jd7AvQ6Hic, 5691739]
[paragraph, [297.0, 1858.0, 1088.0, 52.5], DTrn6h1vcN, 5691739]
[paragraph, [273.0, 1939.0, 1296.0, 52.5], UawRB-iwWO, 5691739]
[paragraph, [307.0, 2010.0, 378.0, 52.5], 9VX6Fzj2oG, 5691739]
[paragraph, [220.0, 2091.0, 1765.0, 52.5], Qf_XgHMTFd, 5691739]
[paragraph, [220.0, 2143.5, 1765.0, 52.5], Qf_XgHMTFd, 5691739]
[paragraph, [220.0, 2196.0, 1765.0, 52.5], Qf_XgHMTFd, 5691739]
[paragraph, [220.0, 2248.5, 1765.0, 52.5], Qf_XgHMTFd, 5691739]
[paragraph, [300.0, 2311.0, 1178.0, 52.5], 2M5g4MiPwB, 5691739]
[paragraph, [276.0, 2392.0, 1433.0, 52.5], 6AWZCkIPN1, 5691739]
[paragraph, [288.0, 2472.0, 769.0, 52.5], wF3FIQ1FrA, 5691739]
[paragraph, [307.0, 2547.0, 912.0, 52.5], kG0XiuJWe4, 5691739]
[paragraph, [226.0, 2624.0, 1818.0, 52.5], SFpx3RfRzV, 5691739]
[paragraph, [226.0, 2676.5, 1818.0, 52.5], SFpx3RfRzV, 5691739]
[paragraph, [226.0, 2729.0, 1818.0, 52.5], SFpx3RfRzV, 5691739]
[paragraph, [226.0, 2781.5, 1818.0, 52.5], SFpx3RfRzV, 5691739]
[paragraph, [226.0, 2834.0, 1818.0, 52.5], SFpx3RfRzV, 5691739]
[paragraph, [223.0, 2928.0, 1855.0, 52.5], 9CUT_AzVzK, 5691739]
[paragraph, [223.0, 2980.5, 1855.0, 52.5], 9CUT_AzVzK, 5691739]
[paragraph, [223.0, 3033.0, 1855.0, 52.5], 9CUT_AzVzK, 5691739]
[paragraph, [223.0, 3085.5, 1855.0, 52.5], 9CUT_AzVzK, 5691739]
[paragraph, [288.0, 3164.0, 601.0, 52.5], KDKs81zYI2, 5691739]
[paragraph, [294.0, 3245.0, 1067.0, 52.5], CrAr0MuILc, 5691739]
