[872, 605]
[folio, [453.0, 39.0, 92.0, 18.0], sSjKTzeQTA, 6456857]
[paragraph, [302.0, 79.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 97.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 115.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 133.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 151.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 169.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 187.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 205.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 223.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 241.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 259.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 277.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 295.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 313.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [302.0, 331.0, 252.0, 18.0], fA6R1SLDE3, 6456857]
[paragraph, [47.0, 82.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 100.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 118.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 136.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 154.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 172.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 190.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [47.0, 208.0, 249.0, 18.0], Y2N7ewnQhw, 6456857]
[paragraph, [48.0, 233.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 251.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 269.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 287.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 305.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 323.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 341.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 359.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 377.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 395.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [48.0, 413.0, 251.0, 18.0], shoonya_7s4JLFQTVK00CE, 6456857]
[paragraph, [303.0, 366.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 384.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 402.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 420.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 438.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 456.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 474.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 492.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 510.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 528.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [303.0, 546.0, 252.0, 18.0], Qxu7zON5Tu, 6456857]
[paragraph, [49.0, 454.0, 244.0, 18.0], 83-E1zABbl, 6456857]
[paragraph, [47.0, 490.0, 244.0, 18.0], BaqKFyEIEk, 6456857]
[paragraph, [48.0, 523.0, 252.0, 18.0], sBNoB7fe9v, 6456857]
[paragraph, [49.0, 558.0, 248.0, 18.0], RrhGztDIth, 6456857]
