[1650, 1275]
[section-title, [117.0, 105.0, 147.0, 49.5], shoonya_9sC3MMCJIG4HUC, 6471604]
[headline, [148.0, 193.0, 906.0, 37.5], shoonya_6s4GN1M9MGDSWS, 6471604]
[headline, [148.0, 230.5, 906.0, 37.5], shoonya_6s4GN1M9MGDSWS, 6471604]
[paragraph, [152.0, 669.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [152.0, 705.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [152.0, 741.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [152.0, 777.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [152.0, 813.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [152.0, 849.0, 429.0, 36.0], shoonya_11sKQKEI54Z8QG, 6471604]
[paragraph, [608.0, 672.0, 384.0, 36.0], shoonya_5sXU2MVZD4TN7N, 6471604]
[paragraph, [609.0, 724.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [609.0, 760.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [609.0, 796.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [609.0, 832.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [609.0, 868.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [609.0, 904.0, 429.0, 36.0], shoonya_3sZOYCKIBGMD2Y, 6471604]
[paragraph, [148.0, 902.0, 424.0, 36.0], shoonya_8sHAVU5ZBWPWCP, 6471604]
[paragraph, [148.0, 938.0, 424.0, 36.0], shoonya_8sHAVU5ZBWPWCP, 6471604]
[paragraph, [148.0, 974.0, 424.0, 36.0], shoonya_8sHAVU5ZBWPWCP, 6471604]
[paragraph, [148.0, 1010.0, 424.0, 36.0], shoonya_8sHAVU5ZBWPWCP, 6471604]
[paragraph, [606.0, 949.0, 410.0, 36.0], shoonya_12s4STP4PNEPMK, 6471604]
[paragraph, [606.0, 985.0, 410.0, 36.0], shoonya_12s4STP4PNEPMK, 6471604]
[paragraph, [606.0, 1021.0, 410.0, 36.0], shoonya_12s4STP4PNEPMK, 6471604]
[paragraph, [606.0, 1057.0, 410.0, 36.0], shoonya_12s4STP4PNEPMK, 6471604]
[paragraph, [606.0, 1093.0, 410.0, 36.0], shoonya_12s4STP4PNEPMK, 6471604]
[paragraph, [144.0, 1051.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [144.0, 1087.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [144.0, 1123.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [144.0, 1159.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [144.0, 1195.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [144.0, 1231.0, 430.0, 36.0], shoonya_2sG1ULFB2DXNWH, 6471604]
[paragraph, [606.0, 1149.0, 419.0, 36.0], shoonya_4sY7R7KZVW2FEG, 6471604]
[paragraph, [606.0, 1185.0, 419.0, 36.0], shoonya_4sY7R7KZVW2FEG, 6471604]
[paragraph, [606.0, 1221.0, 419.0, 36.0], shoonya_4sY7R7KZVW2FEG, 6471604]
[website-link, [315.0, 1399.0, 374.0, 18.0], MwfBlZJSNH, 6471604]
