[1664, 2360]
[paragraph, [75.0, 87.0, 478.0, 36.0], shoonya_1sFGD6VT3ZL8WP, 5692365]
[paragraph, [132.0, 148.0, 1402.0, 36.0], shoonya_0sYOYLFJPHP45E, 5692365]
[paragraph, [59.0, 205.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 241.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 277.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 313.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 349.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 385.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [59.0, 421.0, 2235.0, 36.0], y8iztCFLxl, 5692365]
[paragraph, [62.0, 482.0, 2226.0, 36.0], YB3PcWwL86, 5692365]
[paragraph, [62.0, 518.0, 2226.0, 36.0], YB3PcWwL86, 5692365]
[paragraph, [62.0, 554.0, 2226.0, 36.0], YB3PcWwL86, 5692365]
[paragraph, [62.0, 590.0, 2226.0, 36.0], YB3PcWwL86, 5692365]
[paragraph, [62.0, 651.0, 2223.0, 36.0], DeFBDEJXX7, 5692365]
[paragraph, [62.0, 687.0, 2223.0, 36.0], DeFBDEJXX7, 5692365]
[paragraph, [62.0, 723.0, 2223.0, 36.0], DeFBDEJXX7, 5692365]
[paragraph, [56.0, 770.0, 1540.0, 36.0], mQO8OP62Xc, 5692365]
[paragraph, [53.0, 828.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 864.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 900.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 936.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 972.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1008.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1044.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1080.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1116.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1152.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1188.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1224.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1260.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1296.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1332.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1368.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1404.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1440.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1476.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1512.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
[paragraph, [53.0, 1548.0, 2240.0, 36.0], Aq0PU47U73, 5692365]
