[1492, 1000]
[folio, [411.0, 150.0, 203.0, 18.0], shoonya_3s9NKTLY1GOO6J, 5720584]
[paragraph, [147.0, 193.0, 746.0, 18.0], shoonya_0s7UV610ZSN2ST, 5720584]
[paragraph, [147.0, 211.0, 746.0, 18.0], shoonya_0s7UV610ZSN2ST, 5720584]
[paragraph, [147.0, 229.0, 746.0, 18.0], shoonya_0s7UV610ZSN2ST, 5720584]
[paragraph, [147.0, 247.0, 746.0, 18.0], shoonya_0s7UV610ZSN2ST, 5720584]
[paragraph, [147.0, 265.0, 746.0, 18.0], shoonya_0s7UV610ZSN2ST, 5720584]
[paragraph, [155.0, 289.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 307.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 325.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 343.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 361.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 379.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 397.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 415.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 433.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 451.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 469.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 487.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 505.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 523.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 541.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 559.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 577.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 595.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 613.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 631.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 649.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 667.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 685.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 703.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 721.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 739.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 757.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 775.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 793.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 811.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 829.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 847.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 865.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 883.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 901.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 919.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 937.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 955.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [155.0, 973.0, 737.0, 18.0], wsp7ROgcut, 5720584]
[paragraph, [150.0, 993.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1011.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1029.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1047.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1065.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1083.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1101.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1119.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1137.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1155.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1173.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1191.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1209.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1227.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [150.0, 1245.0, 740.0, 18.0], V5yHslzS2l, 5720584]
[paragraph, [205.0, 1271.0, 687.0, 18.0], iR4rs_yGnH, 5720584]
[paragraph, [205.0, 1289.0, 687.0, 18.0], iR4rs_yGnH, 5720584]
