[1755, 1240]
[figure-caption, [251.0, 320.0, 251.0, 36.0], 2pWQeyYm_W, 6473766]
[section-title, [181.0, 444.0, 413.0, 49.5], yHcu8_o031, 6473766]
[section-title, [181.0, 493.5, 413.0, 49.5], yHcu8_o031, 6473766]
[section-title, [181.0, 543.0, 413.0, 49.5], yHcu8_o031, 6473766]
[sub-section-title, [171.0, 655.0, 95.0, 36.0], 854GjFsxvo, 6473766]
[paragraph, [631.0, 665.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 701.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 737.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 773.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 809.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 845.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [631.0, 881.0, 456.0, 36.0], shoonya_3sD4FBFTX13P98, 6473766]
[paragraph, [167.0, 690.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 726.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 762.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 798.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 834.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 870.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 906.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 942.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 978.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1014.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1050.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1086.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1122.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1158.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1194.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1230.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1266.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1302.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1338.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1374.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1410.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1446.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1482.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[paragraph, [167.0, 1518.0, 445.0, 36.0], shoonya_1sPB1EP4O9NHL4, 6473766]
[sub-section-title, [631.0, 971.0, 462.0, 36.0], shoonya_5sML6TDO94I4RX, 6473766]
[sub-section-title, [631.0, 1007.0, 462.0, 36.0], shoonya_5sML6TDO94I4RX, 6473766]
[paragraph, [633.0, 1054.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1090.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1126.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1162.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1198.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1234.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1270.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [633.0, 1306.0, 448.0, 36.0], shoonya_2sODOD15W2RVQ9, 6473766]
[paragraph, [634.0, 1379.0, 442.0, 36.0], shoonya_4sF6YA0W6BPW31, 6473766]
[paragraph, [634.0, 1415.0, 442.0, 36.0], shoonya_4sF6YA0W6BPW31, 6473766]
[paragraph, [634.0, 1451.0, 442.0, 36.0], shoonya_4sF6YA0W6BPW31, 6473766]
[paragraph, [634.0, 1487.0, 442.0, 36.0], shoonya_4sF6YA0W6BPW31, 6473766]
[paragraph, [634.0, 1523.0, 442.0, 36.0], shoonya_4sF6YA0W6BPW31, 6473766]
