[1388, 886]
[folio, [638.0, 52.0, 206.0, 18.0], jrWYy51YiC, 5742889]
[folio, [638.0, 70.0, 206.0, 18.0], jrWYy51YiC, 5742889]
[folio, [377.0, 55.0, 130.0, 18.0], WZUls5rNLr, 5742889]
[folio, [377.0, 73.0, 130.0, 18.0], WZUls5rNLr, 5742889]
[paragraph, [13.0, 101.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [13.0, 119.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [13.0, 137.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [13.0, 155.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [13.0, 173.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [13.0, 191.0, 429.0, 18.0], rOfexwRFGp, 5742889]
[paragraph, [527.0, 118.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 136.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 154.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 172.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 190.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 208.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 226.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[paragraph, [527.0, 244.0, 224.0, 18.0], 3XrARweGW9, 5742889]
[section-title, [152.0, 270.0, 162.0, 30.0], TZW7w0djE5, 5742889]
[paragraph, [447.0, 272.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 290.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 308.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 326.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 344.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 362.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 380.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 398.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 416.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 434.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 452.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 470.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 488.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 506.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 524.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 542.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 560.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 578.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 596.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 614.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 632.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 650.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 668.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 686.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 704.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 722.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 740.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 758.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 776.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 794.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 812.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 830.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 848.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 866.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 884.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 902.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 920.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 938.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 956.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 974.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 992.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1010.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1028.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1046.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1064.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1082.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1100.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1118.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1136.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1154.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1172.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1190.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1208.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1226.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
[paragraph, [447.0, 1244.0, 415.0, 18.0], EBprQ6P9xo, 5742889]
