[1238, 769]
[paragraph, [63.0, 52.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 70.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 88.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 106.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 124.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 142.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 160.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 178.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 196.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 214.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 232.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 250.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 268.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 286.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 304.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 322.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 340.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 358.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 376.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 394.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 412.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 430.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 448.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 466.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 484.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 502.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 520.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 538.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 556.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 574.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 592.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 610.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 628.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 646.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 664.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 682.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 700.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 718.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 736.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 754.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 772.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 790.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 808.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 826.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 844.0, 652.0, 18.0], shoonya_0s6O0SO6X8FU46, 6469650]
[paragraph, [63.0, 864.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 882.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 900.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 918.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 936.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 954.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 972.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 990.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 1008.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 1026.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[paragraph, [63.0, 1044.0, 646.0, 18.0], shoonya_1s27BZZ29EY7LD, 6469650]
[folio, [591.0, 1082.0, 73.0, 18.0], 9g3N92mlrv, 6469650]
