[882, 655]
[ordered-list, [329.0, 79.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 97.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 115.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 133.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 151.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 169.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 187.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 205.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 223.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 241.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 259.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 277.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 295.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 313.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 331.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 349.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 367.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 385.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 403.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 421.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 439.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 457.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 475.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 493.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 511.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 529.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 547.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 565.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 583.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 601.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 619.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 637.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 655.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 673.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 691.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[ordered-list, [329.0, 709.0, 256.0, 18.0], XfjdjFCIza, 5758747]
[paragraph, [74.0, 83.0, 252.0, 18.0], 1DQu2wPukb, 5758747]
[paragraph, [74.0, 101.0, 252.0, 18.0], 1DQu2wPukb, 5758747]
[ordered-list, [75.0, 131.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 149.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 167.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 185.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 203.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 221.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 239.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 257.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 275.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 293.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 311.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 329.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 347.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 365.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 383.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 401.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 419.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 437.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 455.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 473.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 491.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 509.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 527.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 545.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 563.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 581.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 599.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 617.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 635.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[ordered-list, [75.0, 653.0, 250.0, 18.0], d2wM68vXBZ, 5758747]
[figure-caption, [466.0, 228.0, 108.0, 18.0], iRKNrdbr6O, 5758747]
[figure-caption, [228.0, 252.0, 87.0, 18.0], XyQYHDEbeS, 5758747]
[sub-unordered-list, [330.0, 690.0, 241.0, 18.0], UYSx80Vn5G, 5758747]
[sub-unordered-list, [330.0, 708.0, 241.0, 18.0], UYSx80Vn5G, 5758747]
[ordered-list, [74.0, 693.0, 247.0, 18.0], at_5d4oU5m, 5758747]
[ordered-list, [74.0, 711.0, 247.0, 18.0], at_5d4oU5m, 5758747]
[ordered-list, [74.0, 729.0, 247.0, 18.0], at_5d4oU5m, 5758747]
[ordered-list, [74.0, 747.0, 247.0, 18.0], at_5d4oU5m, 5758747]
[ordered-list, [74.0, 765.0, 247.0, 18.0], at_5d4oU5m, 5758747]
[paragraph, [324.0, 758.0, 248.0, 18.0], 4CXbs5iys9, 5758747]
[paragraph, [324.0, 776.0, 248.0, 18.0], 4CXbs5iys9, 5758747]
