[515, 727]
[chapter-title, [584.0, 196.0, 104.0, 30.0], cGE1AU-rKx, 6533306]
[paragraph, [428.0, 251.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 269.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 287.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 305.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 323.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 341.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 359.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 377.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 395.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
[paragraph, [428.0, 413.0, 270.0, 18.0], shoonya_0sC6FVJS23VLMW, 6533306]
