[1951, 1219]
[paragraph, [132.0, 410.0, 958.0, 36.0], Oomcf4hzBt, 5683062]
[paragraph, [132.0, 446.0, 958.0, 36.0], Oomcf4hzBt, 5683062]
[paragraph, [127.0, 533.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 569.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 605.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 641.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 677.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 713.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 749.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 785.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 821.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 857.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 893.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 929.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 965.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1001.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1037.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1073.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1109.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1145.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1181.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1217.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1253.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1289.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1325.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1361.0, 969.0, 36.0], KoE3JMSO0F, 5683062]
[paragraph, [127.0, 1422.0, 966.0, 36.0], Wzqu8K8Uen, 5683062]
[paragraph, [127.0, 1458.0, 966.0, 36.0], Wzqu8K8Uen, 5683062]
[paragraph, [127.0, 1494.0, 966.0, 36.0], Wzqu8K8Uen, 5683062]
[paragraph, [127.0, 1530.0, 966.0, 36.0], Wzqu8K8Uen, 5683062]
[paragraph, [127.0, 1566.0, 966.0, 36.0], Wzqu8K8Uen, 5683062]
[author, [717.0, 1643.0, 259.0, 36.0], r2_4shBAKQ, 5683062]
[paragraph, [191.0, 1697.0, 894.0, 36.0], ae8KvFxiye, 5683062]
