[1625, 1211]
[paragraph, [423.0, 110.0, 341.0, 36.0], IcfQn2tDqX, 5742932]
[paragraph, [423.0, 146.0, 341.0, 36.0], IcfQn2tDqX, 5742932]
[section-title, [784.0, 116.0, 320.0, 49.5], 7S8uQW8QSm, 5742932]
[section-title, [784.0, 165.5, 320.0, 49.5], 7S8uQW8QSm, 5742932]
[section-title, [784.0, 215.0, 320.0, 49.5], 7S8uQW8QSm, 5742932]
[paragraph, [69.0, 170.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 206.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 242.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 278.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 314.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 350.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [69.0, 386.0, 335.0, 36.0], DJfAh4G14L, 5742932]
[paragraph, [424.0, 217.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 253.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 289.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 325.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 361.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 397.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [424.0, 433.0, 341.0, 36.0], vvniUAyVFr, 5742932]
[paragraph, [782.0, 336.0, 347.0, 36.0], shoonya_1sUDRX1AJP84VB, 5742932]
[paragraph, [782.0, 372.0, 347.0, 36.0], shoonya_1sUDRX1AJP84VB, 5742932]
[paragraph, [782.0, 408.0, 347.0, 36.0], shoonya_1sUDRX1AJP84VB, 5742932]
[paragraph, [782.0, 444.0, 347.0, 36.0], shoonya_1sUDRX1AJP84VB, 5742932]
[paragraph, [782.0, 480.0, 347.0, 36.0], shoonya_1sUDRX1AJP84VB, 5742932]
[paragraph, [69.0, 461.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [69.0, 497.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [69.0, 533.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [69.0, 569.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [69.0, 605.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [69.0, 641.0, 340.0, 36.0], zkskpcRyiN, 5742932]
[paragraph, [783.0, 547.0, 342.0, 36.0], shoonya_0s6SO5W1GX2TJ6, 5742932]
[paragraph, [783.0, 583.0, 342.0, 36.0], shoonya_0s6SO5W1GX2TJ6, 5742932]
[paragraph, [783.0, 619.0, 342.0, 36.0], shoonya_0s6SO5W1GX2TJ6, 5742932]
[paragraph, [783.0, 655.0, 342.0, 36.0], shoonya_0s6SO5W1GX2TJ6, 5742932]
[paragraph, [783.0, 691.0, 342.0, 36.0], shoonya_0s6SO5W1GX2TJ6, 5742932]
[paragraph, [68.0, 713.0, 340.0, 36.0], CbxXN4ykdq, 5742932]
[paragraph, [68.0, 749.0, 340.0, 36.0], CbxXN4ykdq, 5742932]
[paragraph, [781.0, 763.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [781.0, 799.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [781.0, 835.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [781.0, 871.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [781.0, 907.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [781.0, 943.0, 346.0, 36.0], iu1D2riWow, 5742932]
[paragraph, [75.0, 804.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 840.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 876.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 912.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 948.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 984.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [75.0, 1020.0, 338.0, 36.0], 5asv1Zs20k, 5742932]
[paragraph, [421.0, 882.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 918.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 954.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 990.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 1026.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 1062.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
[paragraph, [421.0, 1098.0, 350.0, 36.0], UmiI8l1l2B, 5742932]
