[1806, 1262]
[folio, [621.0, 103.0, 472.0, 36.0], shoonya_3s2PJH4CLWQT3A, 5680312]
[paragraph, [97.0, 180.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 216.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 252.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 288.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 324.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 360.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 396.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 432.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 468.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 504.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 540.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 576.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 612.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 648.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 684.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 720.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 756.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 792.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 828.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [97.0, 864.0, 495.0, 36.0], shoonya_1sBFP82CQRPRMA, 5680312]
[paragraph, [645.0, 181.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 217.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 253.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 289.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 325.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 361.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 397.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [645.0, 433.0, 508.0, 36.0], shoonya_0s14UKJRC2L9RH, 5680312]
[paragraph, [653.0, 481.0, 506.0, 36.0], shoonya_2s8PJBT5I7AW4U, 5680312]
[paragraph, [653.0, 517.0, 506.0, 36.0], shoonya_2s8PJBT5I7AW4U, 5680312]
[paragraph, [653.0, 553.0, 506.0, 36.0], shoonya_2s8PJBT5I7AW4U, 5680312]
[paragraph, [653.0, 589.0, 506.0, 36.0], shoonya_2s8PJBT5I7AW4U, 5680312]
[paragraph, [653.0, 625.0, 506.0, 36.0], shoonya_2s8PJBT5I7AW4U, 5680312]
