[2339, 1609]
[folio, [831.0, 86.0, 556.0, 36.0], 18QX81l4Uo, 5656729]
[folio, [831.0, 122.0, 556.0, 36.0], 18QX81l4Uo, 5656729]
[folio, [222.0, 110.0, 395.0, 36.0], fIanXjD6RL, 5656729]
[section-title, [641.0, 208.0, 335.0, 52.5], AEPjz2riE-, 5656729]
[author, [674.0, 331.0, 259.0, 36.0], VwkZIhzo4I, 5656729]
[contact-info, [429.0, 397.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[contact-info, [429.0, 433.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[contact-info, [429.0, 469.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[contact-info, [429.0, 505.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[contact-info, [429.0, 541.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[contact-info, [429.0, 577.0, 749.0, 36.0], 0K8FPYm4uF, 5656729]
[sub-section-title, [713.0, 665.0, 196.0, 55.5], QKVn4NpTzt, 5656729]
[paragraph, [112.0, 787.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 823.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 859.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 895.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 931.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 967.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1003.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1039.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1075.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1111.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1147.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1183.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1219.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1255.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1291.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1327.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1363.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1399.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1435.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1471.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[paragraph, [112.0, 1507.0, 1391.0, 36.0], shoonya_0sXWF8EU6986ZY, 5656729]
[folio, [911.0, 2152.0, 554.0, 36.0], EtE7i1MElR, 5656729]
[folio, [911.0, 2188.0, 554.0, 36.0], EtE7i1MElR, 5656729]
[folio, [120.0, 2154.0, 582.0, 36.0], sFog3yLz_P, 5656729]
