[2175, 1462]
[folio, [169.0, 127.0, 189.0, 36.0], cMo-NFfwuk, 5655167]
[paragraph, [152.0, 243.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [152.0, 279.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [152.0, 315.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [152.0, 351.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [152.0, 387.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [152.0, 423.0, 1180.0, 36.0], shoonya_2sYCI9T3R8E9YB, 5655167]
[paragraph, [159.0, 495.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 531.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 567.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 603.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 639.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 675.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 711.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 747.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 783.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[paragraph, [159.0, 819.0, 1201.0, 36.0], shoonya_0s4QCBO2DWHBQA, 5655167]
[section-title, [158.0, 892.0, 422.0, 52.5], shoonya_4s7MFZ03UM9A1L, 5655167]
[paragraph, [153.0, 983.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1019.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1055.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1091.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1127.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1163.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1199.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1235.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1271.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1307.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1343.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1379.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1415.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1451.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1487.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1523.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1559.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1595.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [153.0, 1631.0, 1207.0, 36.0], shoonya_1sO3NUUD9UJTNA, 5655167]
[paragraph, [147.0, 1697.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[paragraph, [147.0, 1733.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[paragraph, [147.0, 1769.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[paragraph, [147.0, 1805.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[paragraph, [147.0, 1841.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[paragraph, [147.0, 1877.0, 1217.0, 36.0], shoonya_7s7XKRQLP3BE7Y, 5655167]
[reference, [157.0, 1962.0, 793.0, 36.0], shoonya_6sI4O880LTN4OF, 5655167]
[reference, [157.0, 1998.0, 793.0, 36.0], shoonya_6sI4O880LTN4OF, 5655167]
