[1818, 1374]
[folio, [561.0, 99.0, 239.0, 36.0], shoonya_0sHTPU3UNS2JTP, 5682489]
[paragraph, [106.0, 170.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 206.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 242.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 278.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 314.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 350.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [106.0, 386.0, 564.0, 36.0], shoonya_3s9A3DTWHOXK5J, 5682489]
[paragraph, [692.0, 173.0, 570.0, 36.0], cILYcn4vJx, 5682489]
[paragraph, [692.0, 209.0, 570.0, 36.0], cILYcn4vJx, 5682489]
[paragraph, [692.0, 245.0, 570.0, 36.0], cILYcn4vJx, 5682489]
[paragraph, [692.0, 281.0, 570.0, 36.0], cILYcn4vJx, 5682489]
[paragraph, [692.0, 317.0, 570.0, 36.0], cILYcn4vJx, 5682489]
[paragraph, [695.0, 422.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 458.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 494.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 530.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 566.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 602.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [695.0, 638.0, 568.0, 36.0], KwQ4xZ6lR9, 5682489]
[paragraph, [106.0, 460.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 496.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 532.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 568.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 604.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 640.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 676.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 712.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 748.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 784.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 820.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 856.0, 566.0, 36.0], Rj8biwUocd, 5682489]
[paragraph, [106.0, 892.0, 566.0, 36.0], Rj8biwUocd, 5682489]
