[1606, 1056]
[folio, [442.0, 102.0, 162.0, 36.0], shoonya_2sE42KXGAFY0EW, 5684091]
[paragraph, [99.0, 155.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 191.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 227.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 263.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 299.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 335.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [99.0, 371.0, 849.0, 36.0], shoonya_3sLG01OWBMSH6Q, 5684091]
[paragraph, [101.0, 425.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 461.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 497.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 533.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 569.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 605.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 641.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 677.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 713.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 749.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 785.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 821.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 857.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 893.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 929.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 965.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [101.0, 1001.0, 847.0, 36.0], shoonya_1sL1CRAWVKQR0P, 5684091]
[paragraph, [103.0, 1056.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1092.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1128.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1164.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1200.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1236.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1272.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1308.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1344.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1380.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1416.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
[paragraph, [103.0, 1452.0, 847.0, 36.0], shoonya_0sCWY8K8V6ABVB, 5684091]
