[1468, 909]
[folio, [363.0, 77.0, 154.0, 18.0], cKfhmHBOOL, 5770069]
[folio, [363.0, 95.0, 154.0, 18.0], cKfhmHBOOL, 5770069]
[paragraph, [457.0, 142.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 160.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 178.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 196.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 214.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 232.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 250.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 268.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 286.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 304.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 322.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 340.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 358.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 376.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 394.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 412.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 430.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 448.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 466.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 484.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 502.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 520.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 538.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 556.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 574.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 592.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 610.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 628.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 646.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 664.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 682.0, 378.0, 18.0], p_2F61xFwR, 5770069]
[paragraph, [457.0, 700.0, 378.0, 18.0], p_2F61xFwR, 5770069]
