[2175, 1462]
[folio, [166.0, 127.0, 190.0, 36.0], LdrBg02_qg, 5654844]
[paragraph, [159.0, 240.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 276.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 312.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 348.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 384.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 420.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 456.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 492.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 528.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 564.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 600.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 636.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 672.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [159.0, 708.0, 1187.0, 36.0], shoonya_1sL526PGW3YV9U, 5654844]
[paragraph, [168.0, 819.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [168.0, 855.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [168.0, 891.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [168.0, 927.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [168.0, 963.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [168.0, 999.0, 1180.0, 36.0], shoonya_3sRRC6B49LNWLF, 5654844]
[paragraph, [231.0, 1061.0, 634.0, 36.0], shoonya_5s84VAWIIJZ57Z, 5654844]
[paragraph, [231.0, 1097.0, 634.0, 36.0], shoonya_5s84VAWIIJZ57Z, 5654844]
[paragraph, [231.0, 1133.0, 634.0, 36.0], shoonya_5s84VAWIIJZ57Z, 5654844]
[paragraph, [159.0, 1207.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1243.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1279.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1315.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1351.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1387.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1423.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1459.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1495.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1531.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1567.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1603.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1639.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1675.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1711.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1747.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1783.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1819.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1855.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[paragraph, [159.0, 1891.0, 1191.0, 36.0], shoonya_0s4OUJXV0ZWHCU, 5654844]
[reference, [165.0, 1992.0, 648.0, 36.0], shoonya_2sG4JSUTUYZ0PF, 5654844]
