[2339, 1654]
[folio, [93.0, 58.0, 258.0, 36.0], shoonya_0s704B41WN4J9A, 5750531]
[paragraph, [72.0, 117.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 153.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 189.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 225.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 261.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 297.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 333.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 369.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 405.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 441.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 477.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 513.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 549.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 585.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 621.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 657.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 693.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 729.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 765.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 801.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 837.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 873.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 909.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 945.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 981.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1017.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1053.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1089.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1125.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1161.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1197.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1233.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1269.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1305.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1341.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1377.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1413.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1449.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1485.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1521.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1557.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1593.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1629.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1665.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1701.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1737.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [72.0, 1773.0, 1465.0, 36.0], l7L9sJg7tm, 5750531]
[paragraph, [217.0, 1824.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 1860.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 1896.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 1932.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 1968.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2004.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2040.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2076.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2112.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2148.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
[paragraph, [217.0, 2184.0, 1155.0, 36.0], xUJZmbMl1K, 5750531]
