[1009, 782]
[sidebar, [573.0, 37.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 55.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 73.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 91.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 109.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 127.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 145.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 163.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 181.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 199.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 217.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 235.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 253.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 271.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 289.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 307.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 325.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 343.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 361.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[sidebar, [573.0, 379.0, 173.0, 18.0], shoonya_0s7XTIN238GSYS, 5695410]
[paragraph, [226.0, 194.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 212.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 230.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 248.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 266.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 284.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 302.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[paragraph, [226.0, 320.0, 176.0, 18.0], zayL0Fv6z2, 5695410]
[headline, [99.0, 288.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 313.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 339.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 364.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 390.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 415.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 441.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 466.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 492.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 517.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 543.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 568.5, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[headline, [99.0, 594.0, 359.0, 25.5], shoonya_1sLQWYAQMQ6RXY, 5695410]
[paragraph, [14.0, 662.0, 287.0, 18.0], g9bUuTftc2, 5695410]
[paragraph, [14.0, 680.0, 287.0, 18.0], g9bUuTftc2, 5695410]
[paragraph, [14.0, 698.0, 287.0, 18.0], g9bUuTftc2, 5695410]
[paragraph, [14.0, 716.0, 287.0, 18.0], g9bUuTftc2, 5695410]
[paragraph, [226.0, 766.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
[paragraph, [226.0, 784.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
[paragraph, [226.0, 802.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
[paragraph, [226.0, 820.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
[paragraph, [226.0, 838.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
[paragraph, [226.0, 856.0, 271.0, 18.0], 56GNAH5qUt, 5695410]
