[594, 353]
[folio, [152.0, 11.0, 63.0, 18.0], shoonya_1sUZ4SLA4ALKDQ, 5700571]
[paragraph, [8.0, 40.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 58.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 76.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 94.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 112.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 130.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 148.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 166.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 184.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 202.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 220.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 238.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 256.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 274.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 292.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 310.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 328.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 346.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 364.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 382.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 400.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 418.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 436.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 454.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 472.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 490.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 508.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 526.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
[paragraph, [8.0, 544.0, 339.0, 18.0], shoonya_0sOR6GZ0OP8SPP, 5700571]
