[644, 393]
[folio, [149.0, 33.0, 82.0, 18.0], lhMH0ahBCy, 6459035]
[paragraph, [28.0, 61.0, 334.0, 18.0], 4BApV46dXt, 6459035]
[paragraph, [28.0, 79.0, 334.0, 18.0], 4BApV46dXt, 6459035]
[paragraph, [85.0, 122.0, 248.0, 18.0], 5bewfmULLF, 6459035]
[paragraph, [85.0, 140.0, 248.0, 18.0], 5bewfmULLF, 6459035]
[paragraph, [82.0, 165.0, 268.0, 18.0], 3wAWeBSIa7, 6459035]
[paragraph, [82.0, 183.0, 268.0, 18.0], 3wAWeBSIa7, 6459035]
[paragraph, [28.0, 211.0, 336.0, 18.0], 4O6yVbZQYp, 6459035]
[paragraph, [28.0, 229.0, 336.0, 18.0], 4O6yVbZQYp, 6459035]
[paragraph, [28.0, 247.0, 336.0, 18.0], 4O6yVbZQYp, 6459035]
[paragraph, [28.0, 265.0, 336.0, 18.0], 4O6yVbZQYp, 6459035]
[paragraph, [154.0, 291.0, 85.0, 18.0], vTZSxU0K_9, 6459035]
[paragraph, [26.0, 319.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 337.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 355.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 373.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 391.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 409.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 427.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 445.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 463.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 481.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 499.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 517.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 535.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 553.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 571.0, 335.0, 18.0], morptOToty, 6459035]
[paragraph, [26.0, 589.0, 335.0, 18.0], morptOToty, 6459035]
