[2280, 1780]
[folio, [1395.0, 53.0, 291.0, 36.0], QwmxeT0HRl, 5755339]
[dateline, [151.0, 124.0, 469.0, 64.5], wWMdZ6I1RN, 5755339]
[folio, [1288.0, 135.0, 351.0, 36.0], QUGblhAVr6, 5755339]
[options, [246.0, 387.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 423.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 459.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 495.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 531.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 567.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 603.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 639.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [246.0, 675.0, 1377.0, 36.0], cTcVYEmbMp, 5755339]
[options, [249.0, 856.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 892.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 928.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 964.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1000.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1036.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1072.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1108.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1144.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [249.0, 1180.0, 638.0, 36.0], _cMHPfCqq3, 5755339]
[options, [954.0, 860.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 896.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 932.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 968.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 1004.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 1040.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 1076.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 1112.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[options, [954.0, 1148.0, 665.0, 36.0], 9iTAuw9NFP, 5755339]
[placeholder-text, [525.0, 1312.0, 262.0, 18.0], K2dkgcHn8_, 5755339]
[placeholder-text, [525.0, 1330.0, 262.0, 18.0], K2dkgcHn8_, 5755339]
[placeholder-text, [525.0, 1348.0, 262.0, 18.0], K2dkgcHn8_, 5755339]
[placeholder-text, [525.0, 1366.0, 262.0, 18.0], K2dkgcHn8_, 5755339]
[placeholder-text, [525.0, 1384.0, 262.0, 18.0], K2dkgcHn8_, 5755339]
[placeholder-text, [260.0, 1316.0, 251.0, 18.0], Bm65Eh48M9, 5755339]
[placeholder-text, [260.0, 1334.0, 251.0, 18.0], Bm65Eh48M9, 5755339]
[placeholder-text, [260.0, 1352.0, 251.0, 18.0], Bm65Eh48M9, 5755339]
[placeholder-text, [260.0, 1370.0, 251.0, 18.0], Bm65Eh48M9, 5755339]
[placeholder-text, [260.0, 1388.0, 251.0, 18.0], Bm65Eh48M9, 5755339]
[placeholder-text, [1079.0, 1316.0, 260.0, 18.0], 19OtES63qH, 5755339]
[placeholder-text, [1079.0, 1334.0, 260.0, 18.0], 19OtES63qH, 5755339]
[placeholder-text, [1079.0, 1352.0, 260.0, 18.0], 19OtES63qH, 5755339]
[placeholder-text, [1079.0, 1370.0, 260.0, 18.0], 19OtES63qH, 5755339]
[placeholder-text, [1079.0, 1388.0, 260.0, 18.0], 19OtES63qH, 5755339]
[placeholder-text, [1355.0, 1316.0, 262.0, 18.0], hFKRtA7zOF, 5755339]
[placeholder-text, [1355.0, 1334.0, 262.0, 18.0], hFKRtA7zOF, 5755339]
[placeholder-text, [1355.0, 1352.0, 262.0, 18.0], hFKRtA7zOF, 5755339]
[placeholder-text, [1355.0, 1370.0, 262.0, 18.0], hFKRtA7zOF, 5755339]
[placeholder-text, [1355.0, 1388.0, 262.0, 18.0], hFKRtA7zOF, 5755339]
[placeholder-text, [801.0, 1321.0, 262.0, 18.0], 7HePTGEp8r, 5755339]
[placeholder-text, [801.0, 1339.0, 262.0, 18.0], 7HePTGEp8r, 5755339]
[placeholder-text, [801.0, 1357.0, 262.0, 18.0], 7HePTGEp8r, 5755339]
[placeholder-text, [801.0, 1375.0, 262.0, 18.0], 7HePTGEp8r, 5755339]
[paragraph, [961.0, 1529.0, 660.0, 36.0], SNT_QS5fUg, 5755339]
[paragraph, [961.0, 1565.0, 660.0, 36.0], SNT_QS5fUg, 5755339]
[paragraph, [961.0, 1601.0, 660.0, 36.0], SNT_QS5fUg, 5755339]
[paragraph, [248.0, 1530.0, 634.0, 36.0], shoonya_0s4G9M2QU3VU9D, 5755339]
[paragraph, [248.0, 1566.0, 634.0, 36.0], shoonya_0s4G9M2QU3VU9D, 5755339]
[paragraph, [248.0, 1602.0, 634.0, 36.0], shoonya_0s4G9M2QU3VU9D, 5755339]
[placeholder-text, [1306.0, 1539.0, 311.0, 18.0], JoVgJwwlSF, 5755339]
