[1823, 1375]
[folio, [626.0, 98.0, 118.0, 36.0], shoonya_3sT80TMZHCAU2J, 5684110]
[folio, [973.0, 102.0, 304.0, 36.0], shoonya_4sUIXRF7VV2EP9, 5684110]
[paragraph, [107.0, 168.0, 577.0, 36.0], shoonya_0sT7K2993M4QXL, 5684110]
[paragraph, [107.0, 204.0, 577.0, 36.0], shoonya_0sT7K2993M4QXL, 5684110]
[paragraph, [107.0, 240.0, 577.0, 36.0], shoonya_0sT7K2993M4QXL, 5684110]
[paragraph, [702.0, 172.0, 565.0, 36.0], shoonya_2sZOO0DDE7T2OQ, 5684110]
[paragraph, [702.0, 208.0, 565.0, 36.0], shoonya_2sZOO0DDE7T2OQ, 5684110]
[paragraph, [702.0, 244.0, 565.0, 36.0], shoonya_2sZOO0DDE7T2OQ, 5684110]
[paragraph, [702.0, 280.0, 565.0, 36.0], shoonya_2sZOO0DDE7T2OQ, 5684110]
[paragraph, [106.0, 306.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 342.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 378.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 414.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 450.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 486.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 522.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 558.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 594.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 630.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 666.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 702.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 738.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 774.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 810.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 846.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 882.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 918.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 954.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 990.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1026.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1062.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1098.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1134.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1170.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1206.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1242.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1278.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1314.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1350.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1386.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1422.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1458.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1494.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1530.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1566.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1602.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1638.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [106.0, 1674.0, 577.0, 36.0], shoonya_1sLWEZ37W49Q4V, 5684110]
[paragraph, [700.0, 348.0, 571.0, 36.0], kgHFCVv6Jf, 5684110]
[paragraph, [700.0, 384.0, 571.0, 36.0], kgHFCVv6Jf, 5684110]
[paragraph, [700.0, 420.0, 571.0, 36.0], kgHFCVv6Jf, 5684110]
[paragraph, [700.0, 456.0, 571.0, 36.0], kgHFCVv6Jf, 5684110]
