[3300, 2550]
[paragraph, [427.0, 274.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 326.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 379.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 431.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 484.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 536.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 589.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 641.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 694.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 746.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 799.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 851.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 904.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 956.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1009.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1061.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1114.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1166.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1219.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1271.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1324.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1376.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1429.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1481.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1534.0, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [427.0, 1586.5, 1855.0, 52.5], WdUluWcuHf, 5720582]
[paragraph, [347.0, 1728.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 1780.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 1833.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 1885.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 1938.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 1990.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2043.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2095.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2148.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2200.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2253.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2305.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2358.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2410.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2463.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2515.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2568.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2620.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2673.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2725.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2778.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2830.5, 1918.0, 52.5], H5gnGPqLD6, 5720582]
[paragraph, [347.0, 2883.0, 1918.0, 52.5], H5gnGPqLD6, 5720582]
