[2330, 1682]
[paragraph, [361.0, 184.0, 1196.0, 36.0], actgeecqpZ, 5733869]
[paragraph, [361.0, 220.0, 1196.0, 36.0], actgeecqpZ, 5733869]
[paragraph, [361.0, 256.0, 1196.0, 36.0], actgeecqpZ, 5733869]
[paragraph, [365.0, 338.0, 1184.0, 36.0], 2AFPx6pgyo, 5733869]
[paragraph, [365.0, 374.0, 1184.0, 36.0], 2AFPx6pgyo, 5733869]
[paragraph, [365.0, 410.0, 1184.0, 36.0], 2AFPx6pgyo, 5733869]
[paragraph, [365.0, 446.0, 1184.0, 36.0], 2AFPx6pgyo, 5733869]
[paragraph, [365.0, 482.0, 1184.0, 36.0], 2AFPx6pgyo, 5733869]
[paragraph, [356.0, 573.0, 648.0, 36.0], am8g-6POLK, 5733869]
[unordered-list, [374.0, 635.0, 727.0, 36.0], shoonya_3s2246L024X71I, 5733869]
[unordered-list, [374.0, 671.0, 727.0, 36.0], shoonya_3s2246L024X71I, 5733869]
[unordered-list, [374.0, 707.0, 727.0, 36.0], shoonya_3s2246L024X71I, 5733869]
[unordered-list, [374.0, 743.0, 727.0, 36.0], shoonya_3s2246L024X71I, 5733869]
[unordered-list, [374.0, 779.0, 727.0, 36.0], shoonya_3s2246L024X71I, 5733869]
[paragraph, [360.0, 853.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 889.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 925.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 961.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 997.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 1033.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 1069.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 1105.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 1141.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [360.0, 1177.0, 1189.0, 36.0], shoonya_2sFMHSUP9ZEWC3, 5733869]
[paragraph, [359.0, 1258.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1294.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1330.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1366.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1402.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1438.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1474.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1510.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1546.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [359.0, 1582.0, 1187.0, 36.0], shoonya_1sK336NLDCS73U, 5733869]
[paragraph, [353.0, 1664.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1700.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1736.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1772.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1808.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1844.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1880.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
[paragraph, [353.0, 1916.0, 1188.0, 36.0], shoonya_0sV1BQNWOX3CZ8, 5733869]
