[681, 511]
[folio, [59.0, 23.0, 129.0, 18.0], Cxc9MK5Izg, 5761646]
[paragraph, [24.0, 50.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 68.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 86.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 104.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 122.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 140.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 158.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 176.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 194.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 212.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [24.0, 230.0, 228.0, 18.0], shoonya_1s5X2F3594X32H, 5761646]
[paragraph, [253.0, 52.0, 227.0, 18.0], h8nKo7drx9, 5761646]
[paragraph, [253.0, 70.0, 227.0, 18.0], h8nKo7drx9, 5761646]
[paragraph, [253.0, 88.0, 227.0, 18.0], h8nKo7drx9, 5761646]
[paragraph, [253.0, 106.0, 227.0, 18.0], h8nKo7drx9, 5761646]
[paragraph, [251.0, 123.0, 231.0, 18.0], p8EipSnlVw, 5761646]
[paragraph, [251.0, 141.0, 231.0, 18.0], p8EipSnlVw, 5761646]
[paragraph, [250.0, 173.0, 232.0, 18.0], rgoIdLO9Yw, 5761646]
[paragraph, [250.0, 191.0, 232.0, 18.0], rgoIdLO9Yw, 5761646]
[paragraph, [250.0, 209.0, 232.0, 18.0], rgoIdLO9Yw, 5761646]
[paragraph, [251.0, 229.0, 229.0, 18.0], p9kN3Y4wgS, 5761646]
[paragraph, [251.0, 247.0, 229.0, 18.0], p9kN3Y4wgS, 5761646]
[paragraph, [24.0, 253.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 271.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 289.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 307.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 325.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 343.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 361.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 379.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 397.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 415.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 433.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 451.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 469.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [24.0, 487.0, 228.0, 18.0], shoonya_5sXGJXHW8XY4OF, 5761646]
[paragraph, [251.0, 278.0, 232.0, 18.0], shoonya_2sO8QBW59OZWS0, 5761646]
[paragraph, [251.0, 296.0, 232.0, 18.0], shoonya_2sO8QBW59OZWS0, 5761646]
[paragraph, [251.0, 314.0, 232.0, 18.0], shoonya_2sO8QBW59OZWS0, 5761646]
[paragraph, [251.0, 332.0, 232.0, 18.0], shoonya_2sO8QBW59OZWS0, 5761646]
[paragraph, [251.0, 350.0, 232.0, 18.0], shoonya_2sO8QBW59OZWS0, 5761646]
[paragraph, [252.0, 382.0, 231.0, 18.0], shoonya_4s5QJC6JTBIRUP, 5761646]
[paragraph, [252.0, 400.0, 231.0, 18.0], shoonya_4s5QJC6JTBIRUP, 5761646]
[paragraph, [252.0, 418.0, 231.0, 18.0], shoonya_4s5QJC6JTBIRUP, 5761646]
[paragraph, [254.0, 460.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 478.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 496.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 514.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 532.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 550.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 568.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 586.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 604.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [254.0, 622.0, 230.0, 18.0], shoonya_0sBLB7RJQ7RAJM, 5761646]
[paragraph, [23.0, 522.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
[paragraph, [23.0, 540.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
[paragraph, [23.0, 558.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
[paragraph, [23.0, 576.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
[paragraph, [23.0, 594.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
[paragraph, [23.0, 612.0, 230.0, 18.0], fDYMJG4oSA, 5761646]
