[1755, 1240]
[folio, [637.0, 75.0, 488.0, 36.0], VhNkVl35-I, 5744049]
[paragraph, [200.0, 209.0, 930.0, 36.0], shoonya_2sLYWKL7EMNU75, 5744049]
[paragraph, [200.0, 245.0, 930.0, 36.0], shoonya_2sLYWKL7EMNU75, 5744049]
[paragraph, [195.0, 311.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 347.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 383.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 419.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 455.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 491.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 527.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 563.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [195.0, 599.0, 929.0, 36.0], FVQ8IKNZxY, 5744049]
[paragraph, [196.0, 673.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 709.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 745.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 781.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 817.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 853.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 889.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 925.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 961.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 997.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1033.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1069.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1105.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1141.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1177.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1213.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1249.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1285.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1321.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1357.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [196.0, 1393.0, 929.0, 36.0], shoonya_1sD6PQQP9UJSLR, 5744049]
[paragraph, [199.0, 1456.0, 929.0, 36.0], shoonya_4sLUYUHFP6KSIV, 5744049]
[paragraph, [199.0, 1492.0, 929.0, 36.0], shoonya_4sLUYUHFP6KSIV, 5744049]
[paragraph, [199.0, 1528.0, 929.0, 36.0], shoonya_4sLUYUHFP6KSIV, 5744049]
[paragraph, [199.0, 1564.0, 929.0, 36.0], shoonya_4sLUYUHFP6KSIV, 5744049]
