[1951, 1219]
[folio, [785.0, 120.0, 211.0, 36.0], shoonya_0sI81FQBJHJH2Q, 5682161]
[paragraph, [193.0, 208.0, 313.0, 36.0], 4O4UOGB2ZE, 5682161]
[paragraph, [115.0, 272.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 308.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 344.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 380.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 416.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 452.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 488.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 524.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 560.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 596.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 632.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 668.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 704.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 740.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 776.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 812.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 848.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [115.0, 884.0, 976.0, 36.0], 3XMG_W_TyA, 5682161]
[paragraph, [124.0, 963.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 999.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1035.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1071.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1107.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1143.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1179.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1215.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1251.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1287.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1323.0, 973.0, 36.0], wXYy1XhX3l, 5682161]
[paragraph, [124.0, 1373.0, 978.0, 36.0], fOEningZB6, 5682161]
[paragraph, [124.0, 1409.0, 978.0, 36.0], fOEningZB6, 5682161]
[paragraph, [124.0, 1445.0, 978.0, 36.0], fOEningZB6, 5682161]
[paragraph, [124.0, 1481.0, 978.0, 36.0], fOEningZB6, 5682161]
[paragraph, [123.0, 1553.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1589.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1625.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1661.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1697.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1733.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1769.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
[paragraph, [123.0, 1805.0, 981.0, 36.0], M0VWgZn8TF, 5682161]
