[872, 605]
[folio, [265.0, 35.0, 82.0, 18.0], shoonya_0sWLFMM4YB9HNM, 6457292]
[folio, [434.0, 35.0, 117.0, 18.0], kkty3k12xv, 6457292]
[paragraph, [301.0, 78.0, 250.0, 18.0], 7pStSFshL6, 6457292]
[paragraph, [301.0, 96.0, 250.0, 18.0], 7pStSFshL6, 6457292]
[paragraph, [47.0, 80.0, 249.0, 18.0], GRXyUwBScM, 6457292]
[paragraph, [46.0, 118.0, 252.0, 18.0], b55QJbopWP, 6457292]
[paragraph, [301.0, 139.0, 248.0, 18.0], ABJDFtJR6N, 6457292]
[paragraph, [48.0, 140.0, 233.0, 18.0], mH5NZqisEu, 6457292]
[paragraph, [48.0, 158.0, 233.0, 18.0], mH5NZqisEu, 6457292]
[paragraph, [302.0, 175.0, 246.0, 18.0], A2Dxod8IBG, 6457292]
[paragraph, [49.0, 178.0, 250.0, 18.0], keKdwZC3Qd, 6457292]
[paragraph, [49.0, 196.0, 250.0, 18.0], keKdwZC3Qd, 6457292]
[paragraph, [49.0, 214.0, 250.0, 18.0], keKdwZC3Qd, 6457292]
[paragraph, [49.0, 232.0, 250.0, 18.0], keKdwZC3Qd, 6457292]
[paragraph, [49.0, 250.0, 250.0, 18.0], keKdwZC3Qd, 6457292]
[paragraph, [313.0, 198.0, 160.0, 18.0], RpxikoKMt4, 6457292]
[paragraph, [302.0, 219.0, 245.0, 18.0], ZxmxYN1_BR, 6457292]
[paragraph, [304.0, 243.0, 245.0, 18.0], xN__lg6EUm, 6457292]
[paragraph, [302.0, 280.0, 237.0, 18.0], 35nnGi5mAe, 6457292]
[paragraph, [49.0, 288.0, 245.0, 18.0], IBDW6bPX7U, 6457292]
[paragraph, [49.0, 306.0, 245.0, 18.0], IBDW6bPX7U, 6457292]
[paragraph, [302.0, 301.0, 255.0, 18.0], -39OFq1H9y, 6457292]
[paragraph, [49.0, 327.0, 248.0, 18.0], rw-8hufwJ_, 6457292]
[paragraph, [49.0, 345.0, 248.0, 18.0], rw-8hufwJ_, 6457292]
[paragraph, [304.0, 338.0, 250.0, 18.0], diZJzODKV-, 6457292]
[paragraph, [304.0, 356.0, 250.0, 18.0], diZJzODKV-, 6457292]
[paragraph, [50.0, 365.0, 249.0, 18.0], fytqW65Nyb, 6457292]
[paragraph, [50.0, 383.0, 249.0, 18.0], fytqW65Nyb, 6457292]
[paragraph, [302.0, 396.0, 245.0, 18.0], FjRs54y8RL, 6457292]
[paragraph, [302.0, 414.0, 245.0, 18.0], FjRs54y8RL, 6457292]
[paragraph, [50.0, 406.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [50.0, 424.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [50.0, 442.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [50.0, 460.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [50.0, 478.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [50.0, 496.0, 249.0, 18.0], Mtj05SZ-8G, 6457292]
[paragraph, [304.0, 435.0, 250.0, 18.0], 52zvFzzNKJ, 6457292]
[paragraph, [304.0, 453.0, 250.0, 18.0], 52zvFzzNKJ, 6457292]
[paragraph, [304.0, 491.0, 245.0, 18.0], lqoiGHGqLC, 6457292]
[paragraph, [304.0, 509.0, 245.0, 18.0], lqoiGHGqLC, 6457292]
[paragraph, [303.0, 528.0, 235.0, 18.0], fVT3e9ZlzT, 6457292]
[paragraph, [303.0, 546.0, 235.0, 18.0], fVT3e9ZlzT, 6457292]
[paragraph, [47.0, 531.0, 250.0, 18.0], vl5jAYXwUz, 6457292]
[paragraph, [50.0, 567.0, 249.0, 18.0], 3uWHSM1AaN, 6457292]
[paragraph, [50.0, 585.0, 249.0, 18.0], 3uWHSM1AaN, 6457292]
[paragraph, [302.0, 569.0, 253.0, 18.0], KmOx_l8HrB, 6457292]
[paragraph, [302.0, 587.0, 253.0, 18.0], KmOx_l8HrB, 6457292]
[paragraph, [302.0, 605.0, 253.0, 18.0], KmOx_l8HrB, 6457292]
[paragraph, [302.0, 623.0, 253.0, 18.0], KmOx_l8HrB, 6457292]
[paragraph, [53.0, 605.0, 247.0, 18.0], i9qiPZJ7rT, 6457292]
[paragraph, [53.0, 623.0, 247.0, 18.0], i9qiPZJ7rT, 6457292]
[paragraph, [53.0, 641.0, 247.0, 18.0], i9qiPZJ7rT, 6457292]
[paragraph, [53.0, 659.0, 247.0, 18.0], i9qiPZJ7rT, 6457292]
[paragraph, [313.0, 681.0, 239.0, 18.0], XxNtKQctAL, 6457292]
[paragraph, [52.0, 696.0, 232.0, 18.0], kIZOV44Ayb, 6457292]
[paragraph, [52.0, 714.0, 232.0, 18.0], kIZOV44Ayb, 6457292]
[reference, [305.0, 709.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [305.0, 727.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [305.0, 745.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [305.0, 763.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [305.0, 781.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [305.0, 799.0, 246.0, 18.0], EJrZ_SSgql, 6457292]
[reference, [50.0, 742.0, 249.0, 18.0], eBq8P_DVDQ, 6457292]
[reference, [50.0, 760.0, 249.0, 18.0], eBq8P_DVDQ, 6457292]
[reference, [50.0, 778.0, 249.0, 18.0], eBq8P_DVDQ, 6457292]
[reference, [50.0, 796.0, 249.0, 18.0], eBq8P_DVDQ, 6457292]
[reference, [50.0, 814.0, 249.0, 18.0], eBq8P_DVDQ, 6457292]
