[843, 596]
[section-title, [66.0, 78.0, 462.0, 30.0], shoonya_13s42GLIZKHAA1, 5660646]
[ordered-list, [84.0, 292.0, 423.0, 18.0], shoonya_1sBH9QKQQUIGY8, 5660646]
[ordered-list, [84.0, 310.0, 423.0, 18.0], shoonya_1sBH9QKQQUIGY8, 5660646]
[ordered-list, [84.0, 328.0, 423.0, 18.0], shoonya_1sBH9QKQQUIGY8, 5660646]
[ordered-list, [84.0, 346.0, 423.0, 18.0], shoonya_1sBH9QKQQUIGY8, 5660646]
[ordered-list, [82.0, 591.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
[ordered-list, [82.0, 609.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
[ordered-list, [82.0, 627.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
[ordered-list, [82.0, 645.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
[ordered-list, [82.0, 663.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
[ordered-list, [82.0, 681.0, 447.0, 18.0], shoonya_12sKG5UJNKHIOY, 5660646]
