[1461, 1106]
[section-title, [145.0, 123.0, 193.0, 30.0], eksqnuzc9B, 5758694]
[paragraph, [146.0, 171.0, 850.0, 18.0], 8fsf1YhmlN, 5758694]
[paragraph, [146.0, 189.0, 850.0, 18.0], 8fsf1YhmlN, 5758694]
[paragraph, [146.0, 207.0, 850.0, 18.0], 8fsf1YhmlN, 5758694]
[paragraph, [146.0, 225.0, 850.0, 18.0], 8fsf1YhmlN, 5758694]
[paragraph, [146.0, 243.0, 850.0, 18.0], 8fsf1YhmlN, 5758694]
[sub-section-title, [142.0, 272.0, 728.0, 25.5], 9SOw_2-Y48, 5758694]
[unordered-list, [142.0, 315.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 333.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 351.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 369.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 387.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 405.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 423.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 441.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 459.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 477.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 495.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 513.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 531.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 549.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 567.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 585.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 603.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 621.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 639.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 657.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 675.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 693.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 711.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 729.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 747.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 765.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 783.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 801.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 819.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 837.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 855.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 873.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 891.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 909.0, 508.0, 18.0], V358eAahUx, 5758694]
[unordered-list, [142.0, 927.0, 508.0, 18.0], V358eAahUx, 5758694]
[figure-caption, [663.0, 507.0, 316.0, 18.0], wbFyDS3GsK, 5758694]
[figure-caption, [663.0, 525.0, 316.0, 18.0], wbFyDS3GsK, 5758694]
[figure-caption, [663.0, 543.0, 316.0, 18.0], wbFyDS3GsK, 5758694]
[figure-caption, [663.0, 561.0, 316.0, 18.0], wbFyDS3GsK, 5758694]
[figure-caption, [677.0, 799.0, 297.0, 18.0], 54D3z2k8cr, 5758694]
[figure-caption, [677.0, 817.0, 297.0, 18.0], 54D3z2k8cr, 5758694]
[figure-caption, [677.0, 835.0, 297.0, 18.0], 54D3z2k8cr, 5758694]
[figure-caption, [677.0, 853.0, 297.0, 18.0], 54D3z2k8cr, 5758694]
[unordered-list, [175.0, 1018.0, 788.0, 18.0], U5Zu-sQ7xA, 5758694]
[unordered-list, [175.0, 1036.0, 788.0, 18.0], U5Zu-sQ7xA, 5758694]
[unordered-list, [175.0, 1054.0, 788.0, 18.0], U5Zu-sQ7xA, 5758694]
[unordered-list, [175.0, 1072.0, 788.0, 18.0], U5Zu-sQ7xA, 5758694]
[unordered-list, [175.0, 1090.0, 788.0, 18.0], U5Zu-sQ7xA, 5758694]
[section-title, [138.0, 1128.0, 228.0, 30.0], VKmqn9ARth, 5758694]
[paragraph, [142.0, 1192.0, 840.0, 18.0], MGkZ5s3nPS, 5758694]
[paragraph, [142.0, 1210.0, 840.0, 18.0], MGkZ5s3nPS, 5758694]
[paragraph, [143.0, 1249.0, 836.0, 18.0], g1lQzugj0i, 5758694]
[paragraph, [143.0, 1267.0, 836.0, 18.0], g1lQzugj0i, 5758694]
[paragraph, [143.0, 1285.0, 836.0, 18.0], g1lQzugj0i, 5758694]
[paragraph, [143.0, 1303.0, 836.0, 18.0], g1lQzugj0i, 5758694]
[folio, [189.0, 1344.0, 160.0, 18.0], qIIGDJ_BDZ, 5758694]
[folio, [189.0, 1362.0, 160.0, 18.0], qIIGDJ_BDZ, 5758694]
