[3509, 2480]
[paragraph, [365.0, 384.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 436.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 489.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 541.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 594.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 646.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 699.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 751.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 804.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 856.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 909.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 961.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 1014.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 1066.5, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [365.0, 1119.0, 1764.0, 52.5], eUnUge0hqv, 5723665]
[paragraph, [520.0, 1217.0, 1501.0, 52.5], NwEuBIi7i5, 5723665]
[paragraph, [520.0, 1269.5, 1501.0, 52.5], NwEuBIi7i5, 5723665]
[paragraph, [520.0, 1322.0, 1501.0, 52.5], NwEuBIi7i5, 5723665]
[paragraph, [513.0, 1446.0, 1362.0, 52.5], q133s2qAZU, 5723665]
[paragraph, [513.0, 1498.5, 1362.0, 52.5], q133s2qAZU, 5723665]
[paragraph, [513.0, 1551.0, 1362.0, 52.5], q133s2qAZU, 5723665]
[paragraph, [513.0, 1603.5, 1362.0, 52.5], q133s2qAZU, 5723665]
[paragraph, [507.0, 1697.0, 1340.0, 52.5], cbYFG-lKZn, 5723665]
[paragraph, [507.0, 1749.5, 1340.0, 52.5], cbYFG-lKZn, 5723665]
[paragraph, [507.0, 1802.0, 1340.0, 52.5], cbYFG-lKZn, 5723665]
[paragraph, [501.0, 1938.0, 1427.0, 52.5], iK0J5eqcIH, 5723665]
[paragraph, [501.0, 1990.5, 1427.0, 52.5], iK0J5eqcIH, 5723665]
[paragraph, [501.0, 2043.0, 1427.0, 52.5], iK0J5eqcIH, 5723665]
[paragraph, [356.0, 2174.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2226.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2279.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2331.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2384.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2436.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2489.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2541.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2594.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2646.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2699.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2751.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2804.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2856.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2909.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 2961.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 3014.0, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
[paragraph, [356.0, 3066.5, 1780.0, 52.5], 5CYRbm8qXB, 5723665]
