[2339, 1656]
[paragraph, [90.0, 121.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 157.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 193.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 229.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 265.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 301.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 337.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 373.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 409.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 445.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 481.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 517.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 553.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 589.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 625.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 661.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 697.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 733.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 769.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 805.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 841.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [90.0, 877.0, 704.0, 36.0], shoonya_2sVNFD52YCN58O, 5749580]
[paragraph, [1001.0, 124.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 160.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 196.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 232.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 268.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 304.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [1001.0, 340.0, 399.0, 36.0], qtoYszvRoO, 5749580]
[paragraph, [825.0, 399.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 435.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 471.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 507.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 543.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 579.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 615.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 651.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 687.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 723.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 759.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 795.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [825.0, 831.0, 712.0, 36.0], shoonya_3s0R43NZ8SD4D1, 5749580]
[paragraph, [829.0, 893.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 929.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 965.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1001.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1037.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1073.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1109.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1145.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1181.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1217.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1253.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1289.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1325.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1361.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1397.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1433.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1469.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [829.0, 1505.0, 706.0, 36.0], shoonya_1sS8ECCSFQ0334, 5749580]
[paragraph, [161.0, 950.0, 562.0, 36.0], shoonya_8s6DHKR5NAL41U, 5749580]
[paragraph, [91.0, 1007.0, 703.0, 36.0], mMZBZTd1qU, 5749580]
[paragraph, [91.0, 1043.0, 703.0, 36.0], mMZBZTd1qU, 5749580]
[paragraph, [268.0, 1120.0, 395.0, 36.0], shoonya_7sBFLS1KD76PC4, 5749580]
[paragraph, [268.0, 1156.0, 395.0, 36.0], shoonya_7sBFLS1KD76PC4, 5749580]
[paragraph, [268.0, 1192.0, 395.0, 36.0], shoonya_7sBFLS1KD76PC4, 5749580]
[paragraph, [268.0, 1228.0, 395.0, 36.0], shoonya_7sBFLS1KD76PC4, 5749580]
[paragraph, [98.0, 1281.0, 462.0, 36.0], shoonya_4sE6WTOOXQ7RL5, 5749580]
[paragraph, [95.0, 1337.0, 709.0, 36.0], shoonya_0sOEVMKOI9E7F7, 5749580]
[paragraph, [95.0, 1373.0, 709.0, 36.0], shoonya_0sOEVMKOI9E7F7, 5749580]
[paragraph, [95.0, 1409.0, 709.0, 36.0], shoonya_0sOEVMKOI9E7F7, 5749580]
[paragraph, [95.0, 1445.0, 709.0, 36.0], shoonya_0sOEVMKOI9E7F7, 5749580]
[paragraph, [95.0, 1481.0, 709.0, 36.0], shoonya_0sOEVMKOI9E7F7, 5749580]
