[1004, 650]
[paragraph, [57.0, 97.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 115.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 133.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 151.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 169.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 187.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 205.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 223.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [57.0, 241.0, 539.0, 18.0], VomdHhpj7Q, 5741016]
[paragraph, [60.0, 275.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 293.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 311.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 329.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 347.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 365.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 383.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 401.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [60.0, 419.0, 531.0, 18.0], j9xQo7jjs9, 5741016]
[paragraph, [65.0, 452.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 470.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 488.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 506.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 524.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 542.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 560.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 578.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 596.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 614.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 632.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 650.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [65.0, 668.0, 531.0, 18.0], IK75eIQ4ah, 5741016]
[paragraph, [57.0, 699.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 717.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 735.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 753.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 771.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 789.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [57.0, 807.0, 532.0, 18.0], CsTHzJO9xR, 5741016]
[paragraph, [109.0, 841.0, 243.0, 18.0], ReSfE_ii6M, 5741016]
[paragraph, [109.0, 859.0, 243.0, 18.0], ReSfE_ii6M, 5741016]
[paragraph, [56.0, 879.0, 530.0, 18.0], mfZWcNwj2r, 5741016]
[paragraph, [56.0, 897.0, 530.0, 18.0], mfZWcNwj2r, 5741016]
[paragraph, [56.0, 915.0, 530.0, 18.0], mfZWcNwj2r, 5741016]
[paragraph, [56.0, 933.0, 530.0, 18.0], mfZWcNwj2r, 5741016]
[footnote, [354.0, 964.0, 235.0, 18.0], D--eYZRd2d, 5741016]
