[1300, 827]
[paragraph, [80.0, 166.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 184.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 202.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 220.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 238.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 256.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 274.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 292.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 310.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 328.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 346.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 364.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 382.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 400.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 418.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 436.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 454.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 472.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 490.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 508.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 526.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 544.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 562.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 580.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 598.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 616.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 634.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 652.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 670.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 688.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 706.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 724.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 742.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 760.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 778.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 796.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 814.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 832.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 850.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 868.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [80.0, 886.0, 664.0, 18.0], sN8hQRMF7b, 5749075]
[paragraph, [89.0, 917.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 935.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 953.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 971.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 989.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 1007.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 1025.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[paragraph, [89.0, 1043.0, 647.0, 18.0], w28hA_9_ff, 5749075]
[ordered-list, [98.0, 1074.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1092.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1110.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1128.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1146.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1164.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[ordered-list, [98.0, 1182.0, 641.0, 18.0], xtWiNxehZM, 5749075]
[footnote, [509.0, 1253.0, 267.0, 18.0], O9k0wfa1Bk, 5749075]
