[1754, 1241]
[paragraph, [149.0, 152.0, 459.0, 36.0], shoonya_5sQ1WNBA5TUUB1, 5778081]
[paragraph, [149.0, 188.0, 459.0, 36.0], shoonya_5sQ1WNBA5TUUB1, 5778081]
[paragraph, [149.0, 224.0, 459.0, 36.0], shoonya_5sQ1WNBA5TUUB1, 5778081]
[paragraph, [646.0, 153.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [646.0, 189.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [646.0, 225.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [646.0, 261.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [646.0, 297.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [646.0, 333.0, 459.0, 36.0], shoonya_4sBRRPXSWX5XR6, 5778081]
[paragraph, [148.0, 282.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 318.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 354.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 390.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 426.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 462.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 498.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 534.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 570.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 606.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 642.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 678.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 714.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 750.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 786.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 822.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 858.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 894.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [148.0, 930.0, 460.0, 36.0], shoonya_2sF2JTJ5RWEC0W, 5778081]
[paragraph, [645.0, 382.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 418.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 454.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 490.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 526.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 562.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 598.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 634.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 670.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 706.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 742.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 778.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [645.0, 814.0, 461.0, 36.0], shoonya_1s4K0P5XAOM170, 5778081]
[paragraph, [646.0, 882.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 918.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 954.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 990.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1026.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1062.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1098.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1134.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1170.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
[paragraph, [646.0, 1206.0, 461.0, 36.0], shoonya_0s4CA2H73WT5TK, 5778081]
