[992, 640]
[paragraph, [40.0, 82.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 100.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 118.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 136.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 154.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 172.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 190.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 208.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 226.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 244.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 262.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 280.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 298.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 316.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 334.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 352.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 370.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 388.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [40.0, 406.0, 577.0, 18.0], VpTq5-Bxhu, 5774299]
[paragraph, [26.0, 425.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 443.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 461.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 479.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 497.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 515.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 533.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 551.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 569.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 587.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 605.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 623.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [26.0, 641.0, 584.0, 18.0], 2_Nn-YES67, 5774299]
[paragraph, [32.0, 655.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 673.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 691.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 709.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 727.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 745.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 763.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 781.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [32.0, 799.0, 577.0, 18.0], K1NXh_Cz6e, 5774299]
[paragraph, [20.0, 820.0, 615.0, 18.0], xhOvutZdOe, 5774299]
[paragraph, [20.0, 838.0, 615.0, 18.0], xhOvutZdOe, 5774299]
[paragraph, [20.0, 856.0, 615.0, 18.0], xhOvutZdOe, 5774299]
[paragraph, [20.0, 874.0, 615.0, 18.0], xhOvutZdOe, 5774299]
[paragraph, [20.0, 892.0, 615.0, 18.0], xhOvutZdOe, 5774299]
[paragraph, [20.0, 910.0, 615.0, 18.0], xhOvutZdOe, 5774299]
