[1034, 680]
[folio, [232.0, 72.0, 213.0, 18.0], shoonya_0s90PWD8KD8T5P, 5739633]
[folio, [232.0, 90.0, 213.0, 18.0], shoonya_0s90PWD8KD8T5P, 5739633]
[paragraph, [57.0, 115.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 133.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 151.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 169.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 187.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 205.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 223.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 241.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 259.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 277.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 295.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 313.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 331.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 349.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 367.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 385.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 403.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 421.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 439.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 457.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 475.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 493.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [57.0, 511.0, 553.0, 18.0], VemOKG4kvy, 5739633]
[paragraph, [59.0, 537.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 555.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 573.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 591.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 609.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 627.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 645.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 663.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 681.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 699.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 717.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 735.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 753.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 771.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 789.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 807.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 825.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 843.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 861.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 879.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 897.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 915.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
[paragraph, [59.0, 933.0, 557.0, 18.0], M5xvNUbgoz, 5739633]
