[1275, 750]
[folio, [219.0, 87.0, 279.0, 18.0], shoonya_0sNJEFZZ08XR8F, 5767442]
[folio, [219.0, 105.0, 279.0, 18.0], shoonya_0sNJEFZZ08XR8F, 5767442]
[paragraph, [126.0, 159.0, 371.0, 18.0], gIpn264vlt, 5767442]
[paragraph, [126.0, 177.0, 371.0, 18.0], gIpn264vlt, 5767442]
[paragraph, [126.0, 195.0, 371.0, 18.0], gIpn264vlt, 5767442]
[paragraph, [126.0, 213.0, 371.0, 18.0], gIpn264vlt, 5767442]
[paragraph, [551.0, 238.0, 104.0, 18.0], shoonya_3sJNI8CZIZKW4N, 5767442]
[paragraph, [76.0, 289.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 307.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 325.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 343.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 361.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 379.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 397.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 415.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 433.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 451.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 469.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 487.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 505.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 523.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [76.0, 541.0, 582.0, 18.0], 6bOv8i2hIf, 5767442]
[paragraph, [90.0, 582.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 600.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 618.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 636.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 654.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 672.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 690.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 708.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [90.0, 726.0, 506.0, 18.0], zwYVIVbEQ_, 5767442]
[paragraph, [424.0, 750.0, 239.0, 18.0], zp89tootZu, 5767442]
[paragraph, [424.0, 768.0, 239.0, 18.0], zp89tootZu, 5767442]
[paragraph, [75.0, 803.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 821.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 839.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 857.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 875.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 893.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 911.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 929.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 947.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 965.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 983.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1001.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1019.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1037.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1055.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1073.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1091.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1109.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1127.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1145.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
[paragraph, [75.0, 1163.0, 596.0, 18.0], shoonya_2sRPR48DKUWP4K, 5767442]
