[945, 650]
[paragraph, [55.0, 97.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 115.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 133.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 151.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 169.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 187.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 205.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 223.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 241.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 259.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 277.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 295.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 313.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 331.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 349.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 367.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 385.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 403.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 421.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 439.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 457.0, 548.0, 18.0], jxxWmVoVhe, 5739839]
[paragraph, [55.0, 491.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 509.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 527.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 545.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 563.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 581.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 599.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 617.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 635.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 653.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 671.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 689.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 707.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 725.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 743.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 761.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 779.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 797.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 815.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 833.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[paragraph, [55.0, 851.0, 550.0, 18.0], UXpW5ZF51S, 5739839]
[footnote, [315.0, 912.0, 251.0, 18.0], jrZiFpTHvq, 5739839]
