[1275, 711]
[folio, [567.0, 30.0, 115.0, 18.0], q2HogpwaIy, 5781661]
[folio, [567.0, 48.0, 115.0, 18.0], q2HogpwaIy, 5781661]
[folio, [567.0, 66.0, 115.0, 18.0], q2HogpwaIy, 5781661]
[folio, [79.0, 92.0, 563.0, 18.0], 63MXDNT77E, 5781661]
[ordered-list, [22.0, 128.0, 663.0, 18.0], PMcCj1aYyt, 5781661]
[ordered-list, [22.0, 146.0, 663.0, 18.0], PMcCj1aYyt, 5781661]
[ordered-list, [21.0, 179.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 197.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 215.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 233.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 251.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 269.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 287.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 305.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 323.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 341.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 359.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 377.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 395.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 413.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 431.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 449.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [21.0, 467.0, 667.0, 18.0], V7bAehuT0g, 5781661]
[ordered-list, [17.0, 508.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 526.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 544.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 562.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 580.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 598.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 616.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 634.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 652.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 670.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 688.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 706.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 724.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 742.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 760.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 778.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 796.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 814.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 832.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 850.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 868.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 886.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 904.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 922.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 940.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 958.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 976.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 994.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1012.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1030.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1048.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1066.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1084.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1102.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1120.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1138.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1156.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1174.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[ordered-list, [17.0, 1192.0, 675.0, 18.0], eQ1cnDtcHG, 5781661]
[sub-ordered-list, [21.0, 543.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 561.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 579.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 597.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 615.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 633.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 651.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 669.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 687.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 705.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 723.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
[sub-ordered-list, [21.0, 741.0, 666.0, 18.0], iSZPjyXoQ2, 5781661]
